"school_name","subject","n_students","min_grade","max_grade","z_wgt"
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","both math and ELA",204,"3","4",2.25078508005553
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","ELA",125,"3","4",2.21939976724081
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","Math",79,"3","3",2.30044538514211
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","both math and ELA",597,"3","6",2.1838547246089
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","ELA",298,"3","6",1.87329939696923
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","Math",299,"3","6",2.49337140566783
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","both math and ELA",870,"3","8",2.2535742088693
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","ELA",461,"3","8",1.85241566384855
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","Math",409,"3","7",2.70573579628877
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","both math and ELA",698,"3","6",1.82332133433529
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","ELA",348,"3","6",1.59277598003425
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","Math",350,"3","6",2.05254928661175
"SUCCESS ACADEMY CHARTER SCHOOL-BUSHWICK","both math and ELA",99,"3","3",2.09947526921593
"SUCCESS ACADEMY CHARTER SCHOOL-BUSHWICK","ELA",50,"3","3",1.90252455560828
"SUCCESS ACADEMY CHARTER SCHOOL-BUSHWICK","Math",49,"3","3",2.30044538514211
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","both math and ELA",261,"3","4",2.58131850470436
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","ELA",131,"3","4",2.4129673298445
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","Math",130,"3","4",2.7509646886016
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","both math and ELA",717,"3","6",2.215608235357
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","ELA",359,"3","6",1.77191249148719
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","Math",358,"3","6",2.66054335281303
"SUCCESS ACADEMY CHARTER SCHOOL-FAR ROCKAWAY","both math and ELA",164,"3","3",1.45204824494099
