"borough","ls","p"
"Bronx",0.160463024332701,0.208936326483193
"Brooklyn",0.042289618003212,0.302214144572643
"Manhattan",0.0168833602426432,0.160709345405175
"Queens",0.0575657669463204,0.269856069280504
"Staten Island",0.262267056608497,0.0582841142584846
