"entity_name","ls","p"
"PS 201 DISCOVERY SCHOOL FOR INQUIRY AND RESEARCH (THE)",0.183126589277688,0.00161259723012711
"PS 65 RAYMOND YORK ELEMENTARY SCHOOL (THE)",0.184463492766708,0.00154692584971469
"PS 150",0.187456859510207,0.00357909023247669
"PS 124 OSMOND A CHURCH",0.187717018825782,0.00413364855595931
"INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES",0.188067543311662,0.000952235015980036
"PS 58 SCHOOL OF HEROES",0.190448256237484,0.00359368387256833
"IS 125 THOMAS J MCCANN WOODSIDE",0.192980457369319,0.00549450549450549
"OUR WORLD NEIGHBORHOOD CHARTER SCHOOL",0.193038470864332,0.00267793295681742
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL",0.196562513469812,0.00153233220962305
"PS 66 JACQUELINE KENNEDY-ONASSIS",0.197836699324661,0.00166002656042497
"PS 212",0.199518659552645,0.00276549479736731
"PS 169 BAY TERRACE",0.199622588419044,0.00143382513900442
"PS 86",0.199841351338942,0.00300993826890241
"IS 73 FRANK SANSIVIERI INTERMEDIATE SCHOOL  (THE)",0.201312678880437,0.00721655502531997
"GROWING UP GREEN CHARTER SCHOOL",0.206524725598985,0.00301723508894824
"BARD HIGH SCHOOL EARLY COLLEGE QUEENS",0.206997101045421,0.00234592764473243
"PS 50 TALFOURD LAWN ELEMENTARY SCHOOL",0.211193967673554,0.00275454956729857
"PS 31 BAYSIDE",0.21166695027743,0.00184244706157057
"INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE",0.21671724558942,0.00186068911168513
"FRANCIS LEWIS HIGH SCHOOL",0.216796618329939,0.0163193380324854
"GROVER CLEVELAND HIGH SCHOOL",0.218846258576474,0.00622783590911081
"WOODSIDE COMMUNITY SCHOOL (THE)",0.219085913567164,0.00106533572669031
"PS 69 JACKSON HEIGHTS",0.221415681404061,0.00348423157188097
"QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE & TECHNOLOGY",0.221830083980024,0.0018205566014331
"BELLAIRE SCHOOL (THE)",0.22300670061467,0.00307560964931483
"ACE ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS",0.223066958769927,0.00201757074267034
"HILLSIDE ARTS AND LETTERS ACADEMY",0.22458289297264,0.00162354246019585
"CHILDREN'S LAB SCHOOL (THE)",0.225183911167496,0.00149219969937101
