"school_name","county","total","n_ed","n_ell","n_swd","race","count"
"MURRAY HILL ACADEMY","NEW YORK",303,265,12,74,"asian",18
"MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS","NEW YORK",186,145,10,40,"asian",7
"MUSCOTA","NEW YORK",293,104,18,56,"asian",12
"NATIVE AMERICAN MAGNET","ERIE",406,382,135,90,"asian",79
"NEIGHBORHOOD CHARTER SCHOOL OF HARLEM","NEW YORK",585,475,45,183,"asian",12
"NEIGHBORHOOD SCHOOL","NEW YORK",271,111,4,74,"asian",18
"NEIL ARMSTRONG SCHOOL","MONROE",406,263,30,49,"asian",15
"NELSON MANDELA HIGH SCHOOL","KINGS",253,204,2,82,"asian",4
"NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK","BRONX",651,636,108,210,"asian",0
"NEW AMERICAN ACADEMY CHARTER SCHOOL (THE)","KINGS",365,272,8,60,"asian",3
"NEW BRIDGES ELEMENTARY SCHOOL","KINGS",380,338,38,106,"asian",6
"NEW BUFFALO - CULINARY ART, HOSPITAL","ERIE",361,294,34,113,"asian",11
"NEW DAWN CHARTER HIGH SCHOOL","KINGS",216,189,13,104,"asian",2
"NEW DESIGN HIGH SCHOOL","NEW YORK",425,331,22,117,"asian",21
"NEW DESIGN MIDDLE SCHOOL","NEW YORK",145,139,15,62,"asian",1
"NEW DIRECTIONS SECONDARY SCHOOL","BRONX",215,205,81,66,"asian",5
"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH SCHOOL","NEW YORK",1752,429,28,175,"asian",583
"NEW HEIGHTS ACADEMY CHARTER SCHOOL","NEW YORK",784,740,111,116,"asian",2
"NEW HEIGHTS MIDDLE SCHOOL","KINGS",258,204,20,85,"asian",1
"NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL","BRONX",321,285,98,91,"asian",3
"NEW SCHOOL FOR LEADERSHIP AND JOURNALISM (THE)","BRONX",749,738,173,181,"asian",26
"NEW UTRECHT HIGH SCHOOL","KINGS",3406,2763,651,577,"asian",1398
"NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCE MATH AND SCIENCE III","KINGS",397,327,17,56,"asian",14
"NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE","BRONX",496,390,31,72,"asian",15
"NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE II","BRONX",556,477,52,107,"asian",5
"NEW VISIONS CHARTER HIGH SCHOOL FOR HUMANITIES (THE)","BRONX",526,437,35,116,"asian",9
"NEW VISIONS CHARTER HIGH SCHOOL FOR HUMANITIES II","BRONX",486,384,79,103,"asian",8
"NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES III","KINGS",239,180,7,47,"asian",0
"NEW VISIONS CHARTER HS-HUMANITIES IV","QUEENS",190,150,2,36,"asian",6
"NEW VISIONS CHTR HS-ADV MA/SCI IV","QUEENS",471,367,13,79,"asian",39
"NEW VOICES SCHOOL OF ACADEMIC AND CREATIVE ARTS","KINGS",579,168,10,130,"asian",37
"NEW WORLD HIGH SCHOOL","BRONX",385,369,265,27,"asian",35
"NEW YORK CENTER FOR AUTISM CHARTER SCHOOL","NEW YORK",39,36,1,39,"asian",3
"NEW YORK CITY ACADEMY FOR DISCOVERY","QUEENS",360,304,65,82,"asian",66
"NEW YORK CITY MONTESSORI CHARTER SCHOOL","BRONX",281,243,50,75,"asian",0
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","NEW YORK",282,200,62,37,"asian",7
"NEWCOMER ACADEMY AT LAFAYETTE","ERIE",260,251,237,2,"asian",84
"NEWCOMERS HIGH SCHOOL","QUEENS",823,728,640,7,"asian",227
"NEWTOWN HIGH SCHOOL","QUEENS",1767,1376,403,247,"asian",451
"NORTH COLLINS ELEMENTARY SCHOOL","ERIE",288,117,3,38,"asian",3
"NORTH COLLINS JUNIOR-SENIOR HIGH SCHOOL","ERIE",274,112,3,57,"asian",0
"NORTH PARK COMMUNITY SCHOOL #50","ERIE",31,12,2,13,"asian",0
"NORTH QUEENS COMMUNITY HIGH SCHOOL","QUEENS",169,128,8,35,"asian",21
"NORTHEAST COLLEGE PREPARATORY HIGH SCHOOL","MONROE",568,524,64,121,"asian",4
"NORTHSIDE CHARTER HIGH SCHOOL","KINGS",389,303,22,80,"asian",6
"NORTHSIDE SCHOOL","MONROE",545,92,37,65,"asian",89
"NORTHSIDE SCHOOL","MONROE",635,165,0,72,"asian",10
"NORTHWEST COLLEGE PREPARATORY HIGH SCHOOL","MONROE",261,249,31,102,"asian",3
"NORTHWOOD ELEMENTARY SCHOOL","ERIE",850,184,21,63,"asian",12
"NORTHWOOD ELEMENTARY SCHOOL","MONROE",850,184,21,63,"asian",12
"NORTHWOOD ELEMENTARY SCHOOL","ERIE",494,272,32,68,"asian",35
"NORTHWOOD ELEMENTARY SCHOOL","MONROE",494,272,32,68,"asian",35
"NY CENTER FOR AUTISM CS - BRONX","BRONX",20,16,1,20,"asian",0
"NYC CHARTER HS-ARCHITECTURE, ENGINEERING, CONSTRUCTION INDUSTRIES","BRONX",444,415,46,93,"asian",5
"NYC CHARTER SCHOOL OF THE ARTS","NEW YORK",273,125,2,61,"asian",6
"NYC ISCHOOL","NEW YORK",463,159,5,81,"asian",38
"NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES","NEW YORK",471,131,3,96,"asian",90
"NYC LAB MS FOR COLLABORATIVE STUDIES","NEW YORK",563,198,9,83,"asian",360
"NYC MUSEUM SCHOOL","NEW YORK",451,256,4,96,"asian",113
"OCEAN HILL COLLEGIATE CHARTER SCHOOL","KINGS",387,319,11,63,"asian",4
"ODYSSEY ACADEMY","MONROE",1030,661,27,141,"asian",40
"OLYMPIA HIGH SCHOOL","MONROE",1065,747,42,144,"asian",49
"OLYMPUS ACADEMY","KINGS",189,161,3,43,"asian",2
"ONE WORLD MIDDLE SCHOOL AT EDENWALD","BRONX",341,302,22,97,"asian",13
"OPPORTUNITY CHARTER SCHOOL","NEW YORK",485,433,61,299,"asian",4
"ORCHARD PARK HIGH SCHOOL","ERIE",1490,194,3,182,"asian",31
"ORCHARD PARK MIDDLE SCHOOL","ERIE",1142,176,9,184,"asian",23
"ORIGINS HIGH SCHOOL","KINGS",408,334,108,55,"asian",68
"OUR WORLD NEIGHBORHOOD CHARTER SCHOOL","QUEENS",734,546,43,89,"asian",138
"OUR WORLD NEIGHBORHOOD CS 2","QUEENS",95,66,6,14,"asian",4
"PACE HIGH SCHOOL","NEW YORK",577,458,16,118,"asian",27
"PADDY HILL ELEMENTARY SCHOOL","MONROE",561,224,25,19,"asian",24
"PAN AMERICAN INTERNATIONAL HIGH SCHOOL","QUEENS",414,358,344,12,"asian",0
"PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE","BRONX",436,432,371,15,"asian",0
"PARK EAST HIGH SCHOOL","NEW YORK",390,317,16,72,"asian",27
"PARK ROAD SCHOOL","MONROE",419,18,0,65,"asian",16
"PARK SLOPE COLLEGIATE","KINGS",703,467,50,158,"asian",31
"PARKDALE ELEMENTARY SCHOOL","ERIE",614,96,1,87,"asian",2
"PARKSIDE PREPARATORY ACADEMY","KINGS",473,426,52,94,"asian",19
"PATHWAYS ACADEMY","ERIE",248,214,29,71,"asian",10
"PATHWAYS COLLEGE PREPARATORY SCHOOL:  A COLLEGE BOARD SCHOOL","QUEENS",579,440,18,85,"asian",40
"PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL","KINGS",573,422,13,117,"asian",10
"PAUL ROAD SCHOOL","MONROE",393,169,1,52,"asian",9
"PAULA HEDBAVNY SCHOOL","NEW YORK",554,377,83,119,"asian",14
"PAVE ACADEMY CHARTER SCHOOL","KINGS",478,429,45,107,"asian",9
"PECK SLIP SCHOOL (THE)","NEW YORK",434,61,7,95,"asian",67
"PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT","BRONX",327,287,48,76,"asian",28
"PELHAM GARDENS MIDDLE SCHOOL","BRONX",474,363,42,115,"asian",20
"PELHAM LAB HIGH SCHOOL","BRONX",458,349,69,110,"asian",28
"PELHAM PREPARATORY ACADEMY","BRONX",514,382,31,129,"asian",37
"PENFIELD SENIOR HIGH SCHOOL","MONROE",1377,306,7,152,"asian",38
"PENINSULA PREPARATORY ACADEMY CHARTER SCHOOL","QUEENS",315,265,24,40,"asian",3
"PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL","KINGS",389,353,68,87,"asian",7
"PERSISTENCE PREP ACADEMY CHARTER SCH","ERIE",102,87,0,0,"asian",0
"PINE BROOK ELEMENTARY SCHOOL","MONROE",561,205,14,50,"asian",13
"PINEHURST ELEMENTARY SCHOOL","ERIE",638,98,0,75,"asian",3
"PIONEER ACADEMY","QUEENS",901,858,337,211,"asian",22
"PITTSFORD SUTHERLAND HIGH SCHOOL","MONROE",929,51,5,114,"asian",118
"PITTSFORD-MENDON HIGH SCHOOL","MONROE",1036,41,0,91,"asian",118
"PLANK ROAD NORTH ELEMENTARY SCHOOL","MONROE",524,151,19,27,"asian",17
"PLANK ROAD SOUTH ELEMENTARY SCHOOL","MONROE",604,84,19,32,"asian",23
"PREPARATORY ACADEMY FOR WRITERS:  A COLLEGE BOARD SCHOOL","QUEENS",577,419,15,100,"asian",19
"PROFESSIONAL PATHWAYS HIGH SCHOOL","KINGS",210,166,7,46,"asian",23
"PROFESSIONAL PERFORMING ARTS HIGH SCHOOL","NEW YORK",563,207,1,92,"asian",39
"PROFESSOR JUAN BOSCH PUBLIC SCHOOL","NEW YORK",285,193,31,72,"asian",3
"PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS","KINGS",667,570,135,143,"asian",4
"PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL","BRONX",214,197,15,41,"asian",1
"PS 1 ALFRED E SMITH","NEW YORK",267,211,56,84,"asian",134
"PS 1 BERGEN (THE)","KINGS",1073,908,455,207,"asian",79
"PS 1 COURTLANDT SCHOOL","BRONX",556,538,156,160,"asian",3
"PS 100 CONEY ISLAND SCHOOL (THE)","KINGS",781,392,163,144,"asian",30
"PS 100 GLEN MORRIS","QUEENS",879,536,78,182,"asian",290
"PS 100 ISAAC CLASON","BRONX",514,435,43,178,"asian",3
"PS 101 SCHOOL IN THE GARDENS","QUEENS",652,98,24,103,"asian",190
"PS 101 VERRAZANO (THE)","KINGS",872,549,184,234,"asian",454
"PS 102 BAYVIEW","QUEENS",1250,1055,172,193,"asian",767
"PS 102 BAYVIEW (THE)","KINGS",1422,889,191,294,"asian",226
"PS 102 JACQUES CARTIER","NEW YORK",237,229,26,74,"asian",24
"PS 103 HECTOR FONTANEZ","BRONX",1013,903,179,257,"asian",28
"PS 104 BAYS WATER (THE)","QUEENS",585,472,78,132,"asian",16
"PS 105 BAY SCHOOL (THE)","QUEENS",801,705,41,268,"asian",23
"PS 105 BLYTHEBOURNE (THE)","KINGS",1424,1274,631,113,"asian",1310
"PS 105 SENATOR ABRAHAM BERNSTEIN","BRONX",980,902,264,205,"asian",92
"PS 106","QUEENS",190,183,18,63,"asian",6
"PS 106 EDWARD EVERETT HALE","KINGS",372,357,113,120,"asian",3
"PS 106 PARKCHESTER","BRONX",1052,816,175,242,"asian",376
"PS 107","BRONX",516,508,60,208,"asian",2
"PS 107 JOHN W KIMBALL","KINGS",553,53,16,87,"asian",50
"PS 107 THOMAS A DOOLEY","QUEENS",862,651,217,148,"asian",467
"PS 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX","NEW YORK",411,371,31,150,"asian",14
"PS 108 CAPT VINCENT G FOWLER","QUEENS",1374,1121,134,244,"asian",427
"PS 108 PHILIP J ABINANTI","BRONX",574,445,76,95,"asian",77
"PS 108 SAL ABBRACCIAMENTO","KINGS",840,682,90,236,"asian",52
"PS 109","KINGS",552,466,28,160,"asian",10
"PS 109 SEDGWICK","BRONX",565,518,141,136,"asian",0
"PS 11 HIGHBRIDGE","BRONX",553,512,132,150,"asian",3
"PS 11 KATHRYN PHELAN","QUEENS",966,638,207,204,"asian",351
"PS 11 PURVIS J BEHAN","KINGS",828,345,12,94,"asian",17
"PS 11 WILLIAM T HARRIS","NEW YORK",860,272,28,144,"asian",136
"PS 110","QUEENS",894,829,368,183,"asian",68
"PS 110 FLORENCE NIGHTINGALE","NEW YORK",342,194,8,49,"asian",51
"PS 110 THE MONITOR","KINGS",469,126,39,52,"asian",30
"PS 110 THEODORE SCHOENFELD","BRONX",387,378,70,99,"asian",1
"PS 111 ADOLPH S OCHS","NEW YORK",361,212,38,93,"asian",59
"PS 111 JACOB BLACKWELL","QUEENS",311,285,37,103,"asian",13
"PS 111 SETON FALLS","BRONX",608,547,35,180,"asian",8
"PS 112 BRONXWOOD","BRONX",371,352,20,87,"asian",0
"PS 112 DUTCH KILLS","QUEENS",395,337,64,61,"asian",124
"PS 112 JOSE CELSO BARBOSA","NEW YORK",271,217,61,117,"asian",7
"PS 112 LEFFERTS PARK","KINGS",663,469,147,134,"asian",249
"PS 114 LUIS LORENS TORRES SCHOOL","BRONX",717,686,213,159,"asian",25
"PS 114 RYDER ELEMENTARY","KINGS",482,385,67,125,"asian",5
"PS 115 ALEXANDER HUMBOLDT","NEW YORK",414,400,119,91,"asian",5
"PS 115 DANIEL MUCATEL SCHOOL","KINGS",813,518,71,165,"asian",27
"PS 115 GLEN OAKS","QUEENS",720,275,46,94,"asian",506
"PS 116 ELIZABETH L FARRELL","KINGS",356,323,99,88,"asian",6
"PS 116 MARY LINDLEY MURRAY","NEW YORK",450,157,22,85,"asian",99
"PS 117 J KELD/BRIARWOOD SCHOOL","QUEENS",907,614,126,194,"asian",300
"PS 118 LORRAINE HANSBERRY","QUEENS",421,312,37,93,"asian",22
"PS 119","BRONX",773,656,221,146,"asian",219
"PS 119 AMERSFORT","KINGS",414,300,35,76,"asian",73
"PS 12 JAMES B COLGATE","QUEENS",1161,1010,345,191,"asian",640
"PS 120","QUEENS",939,699,378,134,"asian",779
"PS 120 CARLOS TAPIA","KINGS",348,304,61,91,"asian",5
"PS 121","QUEENS",848,667,38,114,"asian",456
"PS 121 NELSON A ROCKEFELLER","KINGS",340,226,76,96,"asian",63
"PS 121 THROOP","BRONX",793,566,39,159,"asian",67
"PS 122 MAMIE FAY","QUEENS",1327,639,99,123,"asian",357
"PS 123","QUEENS",620,522,46,132,"asian",75
"PS 123 MAHALIA JACKSON","NEW YORK",420,402,77,122,"asian",9
"PS 123 SUYDAM","KINGS",544,514,193,100,"asian",32
"PS 124 OSMOND A CHURCH","QUEENS",1133,697,82,157,"asian",534
"PS 124 SILAS B DUTCHER","KINGS",265,187,53,64,"asian",64
"PS 124 YUNG WING","NEW YORK",614,339,169,84,"asian",581
"PS 125 RALPH BUNCHE","NEW YORK",249,177,5,53,"asian",8
"PS 126 DR MARJORIE H DUNBAR","BRONX",512,486,149,100,"asian",4
"PS 126 JACOB AUGUST RIIS","NEW YORK",691,533,105,151,"asian",447
"PS 127 AEROSPACE SCIENCE MAGNET","QUEENS",1224,1058,348,227,"asian",158
"PS 127 MCKINLEY PARK","KINGS",502,410,116,124,"asian",204
"PS 128 AUDUBON","NEW YORK",521,482,127,123,"asian",5
"PS 128 BENSONHURST","KINGS",466,397,211,94,"asian",126
"PS 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY","QUEENS",953,267,32,140,"asian",38
"PS 129 JOHN H FINLEY","NEW YORK",353,328,30,110,"asian",7
"PS 129 PATRICIA LARKIN","QUEENS",1079,821,237,176,"asian",369
"PS 13 CLEMENT C MOORE","QUEENS",1519,1133,449,230,"asian",454
"PS 13 ROBERTO CLEMENTE","KINGS",416,393,40,118,"asian",16
"PS 130","QUEENS",385,172,53,75,"asian",204
"PS 130 ABRAM STEVENS HEWITT","BRONX",402,361,81,129,"asian",3
"PS 130 HERNANDO DE SOTO","NEW YORK",821,382,136,145,"asian",720
"PS 130 THE PARKSIDE","KINGS",769,296,64,183,"asian",137
"PS 131","KINGS",913,789,293,197,"asian",321
"PS 131 ABIGAIL ADAMS","QUEENS",745,673,117,91,"asian",571
"PS 132 CONSELYEA SCHOOL (THE)","KINGS",683,293,49,103,"asian",46
"PS 132 GARRETT A MORGAN","BRONX",351,323,50,97,"asian",1
"PS 132 JUAN PABLO DUARTE","NEW YORK",241,212,109,64,"asian",0
"PS 132 RALPH BUNCHE","QUEENS",337,257,14,81,"asian",3
"PS 133","QUEENS",535,310,43,95,"asian",339
"PS 133 FRED R MOORE","NEW YORK",198,185,22,97,"asian",8
"PS 133 WILLIAM A BUTLER","KINGS",700,240,37,123,"asian",26
"PS 134","KINGS",584,517,95,87,"asian",273
"PS 134 GEORGE F BRISTOW","BRONX",572,560,101,122,"asian",8
"PS 134 HENRIETTA SZOLD","NEW YORK",260,242,23,123,"asian",26
"PS 134 HOLLIS","QUEENS",317,231,41,65,"asian",15
"PS 135 SHELDON A BROOKNER","KINGS",480,417,41,71,"asian",5
"PS 136 ROY WILKINS","QUEENS",536,387,32,88,"asian",14
"PS 138","KINGS",510,448,43,114,"asian",9
"PS 138 SAMUEL RANDALL","BRONX",594,521,49,149,"asian",17
"PS 139 ALEXINE A FENTY","KINGS",887,718,139,178,"asian",169
"PS 139 REGO PARK","QUEENS",735,447,158,130,"asian",206
"PS 14 FAIRVIEW","QUEENS",1575,1315,533,303,"asian",92
"PS 14 SENATOR JOHN CALANDRA","BRONX",579,395,40,142,"asian",26
"PS 140 EDWARD K ELLINGTON","QUEENS",447,403,29,95,"asian",31
"PS 140 NATHAN STRAUS","NEW YORK",373,324,44,142,"asian",19
"PS 140 THE EAGLE SCHOOL","BRONX",567,546,54,148,"asian",1
"PS 142 AMALIA CASTRO","NEW YORK",304,292,26,122,"asian",7
"PS 143 LOUIS ARMSTRONG","QUEENS",1364,1294,777,333,"asian",53
"PS 144 COL JEROMUS REMSEN","QUEENS",849,190,43,126,"asian",291
"PS 145 ANDREW JACKSON","KINGS",480,434,86,90,"asian",1
"PS 145 BLOOMINGDALE SCHOOL (THE)","NEW YORK",343,275,43,110,"asian",3
"PS 146","KINGS",642,215,28,217,"asian",30
"PS 146 ANN M SHORT","NEW YORK",333,326,64,148,"asian",17
"PS 146 EDWARD COLLINS","BRONX",336,328,43,88,"asian",0
"PS 146 HOWARD BEACH","QUEENS",590,291,13,148,"asian",33
"PS 147 ISSAC REMSEN","KINGS",308,233,45,67,"asian",13
"PS 148","QUEENS",729,577,242,156,"asian",113
"PS 149 CHRISTA MCAULIFFE","QUEENS",971,744,366,197,"asian",93
"PS 149 DANNY KAYE","KINGS",582,548,43,144,"asian",21
"PS 149 SOJOURNER TRUTH","NEW YORK",211,208,40,61,"asian",8
"PS 15 INSTITUTE FOR ENVIRONMENTAL LEARNING","BRONX",475,375,53,105,"asian",7
"PS 15 JACKIE ROBINSON","QUEENS",398,302,16,74,"asian",3
"PS 15 PATRICK F DALY","KINGS",400,309,24,151,"asian",5
"PS 15 ROBERTO CLEMENTE","NEW YORK",158,131,8,36,"asian",19
"PS 150","QUEENS",172,30,4,25,"asian",38
"PS 150","NEW YORK",172,30,4,25,"asian",38
"PS 150","QUEENS",981,526,163,130,"asian",251
"PS 150","NEW YORK",981,526,163,130,"asian",251
"PS 150 CHARLES JAMES FOX","BRONX",749,704,179,188,"asian",4
"PS 150 CHRISTOPHER","KINGS",154,148,10,58,"asian",1
"PS 151 LYNDON B JOHNSON","KINGS",259,245,87,56,"asian",2
"PS 151 MARY D CARTER","QUEENS",332,310,34,104,"asian",52
"PS 152 DYCKMAN VALLEY","NEW YORK",495,461,141,111,"asian",2
"PS 152 EVERGREEN","BRONX",815,741,218,223,"asian",13
"PS 152 GWENDOLYN N ALLEYNE SCHOOL","QUEENS",946,725,250,135,"asian",494
"PS 153 ADAM CLAYTON POWELL","NEW YORK",491,444,156,79,"asian",14
"PS 153 HELEN KELLER","BRONX",605,371,10,76,"asian",84
"PS 153 HOMECREST","KINGS",487,390,134,120,"asian",134
"PS 153 MASPETH ELEMENTARY","QUEENS",1086,708,109,208,"asian",114
"PS 154","QUEENS",629,496,103,131,"asian",306
"PS 154 HARRIET TUBMAN","NEW YORK",237,228,44,74,"asian",18
"PS 154 JONATHAN D HYATT","BRONX",298,288,28,75,"asian",1
"PS 155","QUEENS",497,447,32,83,"asian",143
"PS 155 WILLIAM PACA","NEW YORK",219,214,94,87,"asian",2
"PS 156 LAURELTON","QUEENS",219,150,14,37,"asian",6
"PS 156 WAVERLY","KINGS",595,539,11,146,"asian",6
"PS 157 GROVE HILL","BRONX",580,556,50,136,"asian",1
"PS 158 BAYLARD TAYLOR","NEW YORK",726,95,43,120,"asian",91
"PS 158 WARWICK","KINGS",476,427,40,105,"asian",6
"PS 159","QUEENS",610,290,111,95,"asian",376
"PS 159 ISAAC PITKIN","KINGS",751,643,141,139,"asian",309
"PS 159 LUIS MUMOZ MARIN BILING","BRONX",195,171,59,36,"asian",0
"PS 16 LEONARD DUNKLY","KINGS",213,192,7,75,"asian",0
"PS 16 NANCY DEBENEDITTIS SCHOOL (THE)","QUEENS",1511,1316,675,302,"asian",113
"PS 16 WAKEFIELD","BRONX",301,280,34,78,"asian",17
"PS 160 WALT DISNEY","BRONX",334,238,14,97,"asian",7
"PS 160 WALTER FRANCIS BISHOP","QUEENS",558,450,62,121,"asian",86
"PS 160 WILLIAM T SAMPSON","KINGS",1276,1111,772,176,"asian",1127
"PS 161 ARTHUR ASHE SCHOOL","QUEENS",579,495,62,80,"asian",394
"PS 161 CROWN (THE)","KINGS",328,302,26,94,"asian",15
"PS 161 PEDRO ALBIZU CAMPOS","NEW YORK",805,766,192,220,"asian",14
"PS 161 PONCE DE LEON","BRONX",391,380,66,119,"asian",1
"PS 162 JOHN GOLDEN","QUEENS",647,398,131,103,"asian",459
"PS 163 ALFRED E SMITH","NEW YORK",516,262,27,106,"asian",32
"PS 163 ARTHUR A SCHOMBERG","BRONX",453,446,171,126,"asian",4
"PS 163 BATH BEACH","KINGS",605,502,126,129,"asian",168
"PS 163 FLUSHING HEIGHTS","QUEENS",744,595,317,119,"asian",605
"PS 164 CAESAR RODNEY","KINGS",649,534,85,131,"asian",287
"PS 164 QUEENS VALLEY","QUEENS",646,479,94,125,"asian",205
"PS 165 EDITH K BERGTRAUM","QUEENS",686,467,83,178,"asian",370
"PS 165 IDA POSNER","KINGS",154,149,3,57,"asian",0
"PS 165 ROBERT E SIMON","NEW YORK",397,269,49,88,"asian",16
"PS 166 HENRY GRADSTEIN","QUEENS",964,641,142,120,"asian",226
"PS 166 RICHARD ROGERS SCHOOL OF THE ARTS & SCIENCE (THE)","NEW YORK",638,99,15,67,"asian",79
"PS 169 BAY TERRACE","QUEENS",393,142,28,72,"asian",133
"PS 169 SUNSET PARK","KINGS",1412,1303,653,271,"asian",875
"PS 17","ERIE",348,319,42,103,"asian",22
"PS 17 HENRY D WOODWORTH","KINGS",272,195,60,104,"asian",3
"PS 17 HENRY DAVID THOREAU","QUEENS",531,379,134,121,"asian",78
"PS 170","BRONX",233,199,62,51,"asian",4
"PS 171 PATRICK HENRY","NEW YORK",706,502,19,168,"asian",56
"PS 171 PETER G VAN ALST","QUEENS",416,389,89,105,"asian",77
"PS 172 BEACON SCHOOL OF EXCELLENCE","KINGS",543,462,143,187,"asian",41
"PS 173","NEW YORK",408,345,64,93,"asian",15
"PS 173 FRESH MEADOW","QUEENS",929,521,109,160,"asian",545
"PS 174 WILLIAM SIDNEY MOUNT","QUEENS",652,228,76,71,"asian",231
"PS 175 CITY ISLAND","BRONX",311,161,11,64,"asian",14
"PS 175 HENRY H GARNET","NEW YORK",299,283,41,72,"asian",15
"PS 175 LYNN GROSS DISCOVERY SCHOOL (THE)","QUEENS",763,431,71,129,"asian",167
"PS 176 CAMBRIA HEIGHTS","QUEENS",704,471,6,90,"asian",26
"PS 176 OVINGTON","KINGS",1295,1109,296,167,"asian",880
"PS 177 MARLBORO (THE)","KINGS",907,700,313,180,"asian",269
"PS 178 DR SELMAN WAKSMAN","BRONX",414,322,19,95,"asian",14
"PS 178 SAINT CLAIR MCKELWAY","KINGS",275,242,20,65,"asian",5
"PS 179","BRONX",279,267,68,72,"asian",3
"PS 179 KENSINGTON","KINGS",783,657,335,148,"asian",426
"PS 18 EDWARD BUSH","KINGS",178,149,26,72,"asian",1
"PS 18 JOHN PETER ZENGER","BRONX",530,529,157,166,"asian",7
"PS 18 PARK TERRACE","NEW YORK",350,326,94,77,"asian",1
"PS 18 WINCHESTER","QUEENS",547,324,63,93,"asian",331
"PS 180 HUGO NEWMAN","NEW YORK",435,318,37,102,"asian",13
"PS 181","KINGS",612,485,89,130,"asian",10
"PS 181 BROOKFIELD","QUEENS",295,194,11,84,"asian",8
"PS 182","BRONX",714,624,59,148,"asian",42
"PS 182 SAMANTHA SMITH","QUEENS",714,678,263,139,"asian",208
"PS 183 DR RICHARD R GREEN","QUEENS",447,420,34,172,"asian",15
"PS 183 ROBERT L STEVENSON","NEW YORK",519,62,34,94,"asian",81
"PS 184 FLUSHING MANOR","QUEENS",485,238,59,92,"asian",219
"PS 184 NEWPORT","KINGS",494,488,20,149,"asian",1
"PS 184 SHUANG WEN","NEW YORK",639,443,99,117,"asian",449
"PS 185 EARLY CHILDHOOD DISCOVERY AND DESIGN MAGNET SCHOOL (THE)","NEW YORK",298,264,19,83,"asian",7
"PS 185 WALTER KASSENBROCK","KINGS",635,279,42,124,"asian",45
"PS 186 CASTLEWOOD","QUEENS",344,123,4,106,"asian",123
"PS 186 DR IRVING A GLADSTONE","KINGS",1057,810,360,198,"asian",434
"PS 188 ISLAND SCHOOL (THE)","NEW YORK",389,371,30,145,"asian",6
"PS 188 KINGSBURY","QUEENS",686,176,19,72,"asian",419
"PS 188 MICHAEL E BERDY","KINGS",360,320,29,103,"asian",16
"PS 189","NEW YORK",668,624,183,146,"asian",4
"PS 189 BILINGUAL CENTER (THE)","KINGS",1050,948,181,171,"asian",22
"PS 19 ASHER LEVY","NEW YORK",238,176,8,102,"asian",14
"PS 19 JUDITH K WEISS","BRONX",527,281,50,90,"asian",17
"PS 19 MARINO JEANTET","QUEENS",1893,1690,1039,431,"asian",97
"PS 190 SHEFFIELD","KINGS",163,155,6,28,"asian",2
"PS 191 AMSTERDAM","NEW YORK",475,373,36,134,"asian",26
"PS 191 MAYFLOWER","QUEENS",346,226,48,45,"asian",251
"PS 191 PAUL ROBESON","KINGS",148,143,10,45,"asian",5
"PS 192 JACOB H SCHIFF","NEW YORK",345,315,114,84,"asian",1
"PS 192 MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY","KINGS",610,506,178,143,"asian",103
"PS 193 ALFRED J KENNEDY","QUEENS",510,173,35,94,"asian",91
"PS 193 GIL HODGES","KINGS",682,488,129,158,"asian",114
"PS 194 COUNTEE CULLEN","NEW YORK",188,186,31,60,"asian",2
"PS 194 RAOUL WALLENBERG","KINGS",499,449,68,153,"asian",56
"PS 195","BRONX",839,777,274,198,"asian",20
"PS 195 MANHATTAN BEACH","KINGS",469,144,79,38,"asian",13
"PS 195 WILLIAM HABERLE","QUEENS",480,406,11,89,"asian",9
"PS 196","BRONX",851,755,300,197,"asian",8
"PS 196 GRAND CENTRAL PARKWAY","QUEENS",1009,271,66,147,"asian",380
"PS 196 TEN EYCK","KINGS",284,251,30,79,"asian",2
"PS 197 JOHN B RUSSWURM","NEW YORK",263,248,17,89,"asian",2
"PS 197 KINGS HIGHWAY ACADEMY (THE)","KINGS",696,442,220,133,"asian",104
"PS 197 OCEAN SCHOOL (THE)","QUEENS",445,427,98,122,"asian",7
"PS 198","KINGS",377,310,6,90,"asian",11
