"school","district","county","ls_district","p_district","ls_county","p_county","borough","ls_bor","p_bor","n_ela","min_ela","max_ela","z_ela","n_math","min_math","max_math","z_math","n_both","min_both","max_both","z_both"
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","15","NYC",0.06259120295633,0.0100310269000211,0.0959663804587868,0.00054233467749816,"Brooklyn",0.0857924264775023,0.0010848389681976,131,"3","4",2.4129673298445,130,"3","4",2.7509646886016,261,"3","4",2.58131850470436
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","17","NYC",0.0500100510425332,0.025121620543903,0.86411892096692,0.00102603857905057,"Brooklyn",0.649448220897196,0.00205239804794141,359,"3","6",1.77191249148719,358,"3","6",2.66054335281303,717,"3","6",2.215608235357
"SUCCESS ACADEMY CHARTER SCHOOL-FAR ROCKAWAY","27","NYC",0.626097405887182,0.00933571887329113,0.567742982757928,0.000662853494719973,"Queens",0.907780391977269,0.00148490287932519,82,"3","3",1.23104530068771,82,"3","3",1.67305118919426,164,"3","3",1.45204824494099
"SUCCESS ACADEMY CHARTER SCHOOL-FLATBUSH","17","NYC",0.0586609159289003,0.0134380732115799,0.908035770512227,0.000548849208158798,"Brooklyn",0.668566634685852,0.00109787006691469,47,"3","3",2.35017739222199,47,"3","3",2.92783958108996,94,"3","3",2.63900848665598
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","13","NYC",0.255331343654642,0.0110386161899704,0.334161716021123,0.000473932105561455,"Brooklyn",0.273267802459727,0.000948012431668176,111,"3","4",2.09269407296392,110,"3","4",2.38591165654236,221,"3","4",2.238639476555
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","3","NYC",0.61922424292486,0.0471327269924464,0.546501371380543,0.00199181774949024,"Manhattan",0.672870149776384,0.00749240345030386,464,"3","8",1.62045955288466,415,"3","7",2.46597160633188,879,"3","8",2.01964897516065
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","5","NYC",0.0343294683298778,0.0345164282575795,0.410977594298523,0.00115144329426786,"Manhattan",0.505150917849955,0.00433125857674966,393,"3","8",1.76444265266121,311,"3","7",2.4902519543456,704,"3","8",2.08507715951326
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3","4","NYC",0.253035178697402,0.0620631814369583,0.414100155460734,0.0018077822583272,"Manhattan",0.522627192424627,0.00680013722799451,625,"3","8",1.94804766127329,515,"3","7",2.90308133382827,1140,"3","8",2.37948831159418
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4","3","NYC",0.318667852877028,0.0163789116694928,0.249624123869589,0.000692168882692846,"Manhattan",0.307878773783489,0.00260365614585375,155,"3","4",2.05738439865745,155,"3","4",3.06932919545786,310,"3","4",2.56335679705765
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5","5","NYC",0.0401496040646825,0.0364204462236977,0.434914879098588,0.00121495996820909,"Manhattan",0.525688418306514,0.00457018231719271,464,"3","8",1.86177840194026,429,"3","7",2.75251833496882,893,"3","8",2.28969265868075
"SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN","2","NYC",0.0576591516481544,0.00740242261103634,0.0218513168695692,0.000752428291303753,"Manhattan",0.0173652071358439,0.0028303273867869,172,"3","4",2.22760988273772,171,"3","4",2.79278086135243,343,"3","4",2.50937150764476
"SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS","17","NYC",0.0112627455941155,0.0250817449557381,0.524645447606261,0.00102440994638541,"Brooklyn",0.360995044811466,0.00204914027326214,349,"3","7",1.93772885064043,349,"3","7",2.63424157432665,698,"3","7",2.28598521248354
"SUCCESS ACADEMY CHARTER SCHOOL-SOUTH JAMAICA","27","NYC",0.384198334519331,0.0070878062207542,0.402901042554734,0.000503247493534328,"Queens",0.604242584103913,0.00112735869707981,51,"3","3",1.79061134645485,52,"3","3",2.30044538514211,103,"3","3",2.04800328831638
"SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE","2","NYC",0.0190905910193601,0.0115362430301865,0.107395084217599,0.00117261551891494,"Manhattan",0.0806947582656859,0.00441089982356401,433,"3","7",2.3060087495796,428,"3","7",3.12442782903811,861,"3","7",2.71284192728952
"SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST","3","NYC",0.0306838678486334,0.0304455063974102,0.0596987334353478,0.00128661980547611,"Manhattan",0.0258779475569892,0.00483973730641051,482,"3","8",2.35681507209782,455,"3","7",3.01046667631378,937,"3","8",2.67422326838198
"SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG","14","NYC",0.00785872289824559,0.0209540363074546,0.0574216182597483,0.000706826576679283,"Brooklyn",0.203534715726957,0.00141387421080408,134,"3","4",2.1618822232233,135,"3","4",2.75710951929527,269,"3","4",2.46060224169808
"ELMWOOD VILLAGE CHARTER - HERTEL","BCSD","Erie",0.0979528762028467,0.00520846829571662,0.243542937024076,0.00165043601070731,NA,NA,NA,50,"3","3",-0.111913209153428,50,"3","3",-0.313697097973925,100,"3","3",-0.212805153563676
"ELMWOOD VILLAGE CHARTER SCHOOL","BCSD","Erie",0.285288555380917,0.0116348371381928,0.114883724929404,0.00368679486968946,NA,NA,NA,285,"3","8",0.250591247617327,285,"3","8",0.425479872034316,570,"3","8",0.338035559825822
"GENESEE COMMUNITY CHARTER SCHOOL","RCSD","Monroe",0.87995699292344,0.00710839498230942,0.0324740206389678,0.00210678843458946,NA,NA,NA,105,"3","6",0.655931776225141,107,"3","6",0.690107392131109,212,"3","6",0.673180789913531
