"school","ls_district","p_district","ls_county","p_county"
"GENESEE COMMUNITY CHARTER SCHOOL",0.87995699292344,0.00710839498230942,0.0324740206389678,0.00210678843458946
"ELMWOOD VILLAGE CHARTER - HERTEL",0.0979528762028467,0.00520846829571662,0.243542937024076,0.00165043601070731
"ELMWOOD VILLAGE CHARTER SCHOOL",0.285288555380917,0.0116348371381928,0.114883724929404,0.00368679486968946
