"school_name","grade","subject","n_tested","school_mean","nys_mean","sd","z_score"
"COMMUNITY ROOTS CHARTER SCHOOL","8","ELA",34,604,600,9.19627210164209,0.434958856783474
"COMMUNITY ROOTS CHARTER SCHOOL","8","Math",30,607,599,10.9670039364004,0.729460848778152
"COMPASS CHARTER SCHOOL","3","ELA",44,597,600,8.93549570747314,-0.335739627460284
"COMPASS CHARTER SCHOOL","3","Math",44,597,600,9.56336548656681,-0.313697097973925
"COMPASS CHARTER SCHOOL","4","ELA",41,595,599,9.0234455676591,-0.443289646954417
"COMPASS CHARTER SCHOOL","4","Math",40,597,600,10.3950780607035,-0.288598121387937
"COMPASS CHARTER SCHOOL","5","ELA",30,597,599,9.31679134957118,-0.21466617904801
"COMPASS CHARTER SCHOOL","5","Math",29,591,600,10.5199311573998,-0.855518906477764
"ELMWOOD VILLAGE CHARTER SCHOOL","3","ELA",52,607,600,8.93549570747314,0.783392464073997
"ELMWOOD VILLAGE CHARTER SCHOOL","3","Math",52,605,600,9.56336548656681,0.522828496623208
"ELMWOOD VILLAGE CHARTER SCHOOL","4","ELA",51,606,599,9.0234455676591,0.77575688217023
"ELMWOOD VILLAGE CHARTER SCHOOL","4","Math",49,607,600,10.3950780607035,0.673395616571852
"ELMWOOD VILLAGE CHARTER SCHOOL","5","ELA",47,603,599,9.31679134957118,0.42933235809602
"ELMWOOD VILLAGE CHARTER SCHOOL","5","Math",48,600,600,10.5199311573998,0
"ELMWOOD VILLAGE CHARTER SCHOOL","6","ELA",48,591,598,10.1228499667514,-0.691504865032235
"ELMWOOD VILLAGE CHARTER SCHOOL","6","Math",48,600,600,10.2858259807726,0
"ELMWOOD VILLAGE CHARTER SCHOOL","7","ELA",49,600,600,9.83761226983842,0
"ELMWOOD VILLAGE CHARTER SCHOOL","7","Math",49,605,601,10.6493744935478,0.375608915098583
"ELMWOOD VILLAGE CHARTER SCHOOL","8","ELA",38,601,600,9.19627210164209,0.108739714195869
"ELMWOOD VILLAGE CHARTER SCHOOL","8","Math",39,611,599,10.9670039364004,1.09419127316723
"ELMWOOD VILLAGE CHARTER - HERTEL","3","ELA",50,599,600,8.93549570747314,-0.111913209153428
"ELMWOOD VILLAGE CHARTER - HERTEL","3","Math",50,597,600,9.56336548656681,-0.313697097973925
"GENESEE COMMUNITY CHARTER SCHOOL","3","ELA",25,604,600,8.93549570747314,0.447652836613712
"GENESEE COMMUNITY CHARTER SCHOOL","3","Math",27,609,600,9.56336548656681,0.941091293921774
"GENESEE COMMUNITY CHARTER SCHOOL","4","ELA",22,606,599,9.0234455676591,0.77575688217023
"GENESEE COMMUNITY CHARTER SCHOOL","4","Math",22,606,600,10.3950780607035,0.577196242775874
