"school","ls_county","p_county"
"G L PRIESS PRIMARY SCHOOL",0.358189447799052,0.00230732596521768
"GLENDALE ELEMENTARY SCHOOL",0.0517823211872003,0.00320233852823806
"GLOBAL CONCEPTS CHARTER SCHOOL",0.0592110259259032,0.00781699045867341
"GRABIARZ-CAMPUS SCHOOL #79",0.38639316077412,0.00486098566337674
"GRAND ISLAND SENIOR HIGH SCHOOL",0.214319294198534,0.00799763519616376
"GRIFFITH INSTITUTE HIGH SCHOOL",0.325461512433721,0.00458180743270984
"GRIFFITH INSTITUTE MIDDLE SCHOOL",0.371005669666429,0.00327623864812047
"HAMBURG HIGH SCHOOL",0.339998380630836,0.00951669321596899
"HAMBURG MIDDLE SCHOOL",0.290611676723508,0.00633898806102508
"HAROLD O BRUMSTED ELEMENTARY SCHOOL",0.36540875227219,0.00252081520043355
"HARRIET ROSS TUBMAN ACADEMY",0.635969538153223,0.00372785049184635
"HARRIS HILL ELEMENTARY SCHOOL",0.208791462173416,0.00393312860263084
"HARVEY AUSTIN SCHOOL #97",0.956032369587302,0.00425336245545465
"HEALTH SCIENCES CHARTER SCHOOL",1.16965053084917,0.00368679486968946
"HEIM ELEMENTARY SCHOOL",0.206770670513817,0.00494309690769054
"HEIM MIDDLE SCHOOL",0.185945958482021,0.00557535348890677
"HERBERT HOOVER ELEMENTARY SCHOOL",0.0850399964531846,0.00503341927643572
"HERBERT HOOVER MIDDLE SCHOOL",0.0842059153168328,0.00690555564679027
"HERITAGE HEIGHTS ELEMENTARY SCHOOL",0.140060768487441,0.00325160527482633
"HERMAN BADILLO COMMUNITY SCHOOL",1.80121239184512,0.00537007537812228
"HIGHGATE HEIGHTS",1.10190106252899,0.00323518302596358
"HIGHLAND ELEMENTARY SCHOOL",0.287998030234852,0.0027835711822377
"HILLVIEW ELEMENTARY SCHOOL",0.321632299523743,0.0043929515707881
"HOLLAND JUNIOR/SENIOR HIGH SCHOOL",0.433284773388107,0.00220058134760974
"HOLLAND MIDDLE SCHOOL",0.335955978876899,0.00237301496066871
"HOLMES ELEMENTARY SCHOOL",0.0970039769045732,0.0025782930714532
"HUTCHINSON CENTRAL TECHNICAL HIGH SCHOOL",0.238291060986055,0.00946742646938072
