"entity_name","ls","p"
"HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",0.134082336684976,0.0012129974514801
"LIFE SCIENCES SECONDARY SCHOOL",0.13517843803794,0.0026097823956087
"HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY (THE)",0.138424636647524,0.0018623799255048
"HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES",0.140565798022665,0.0029160948833562
"STAR ACADEMY PS 63 (THE)",0.140850887542819,0.0012742599490296
"PACE HIGH SCHOOL",0.142465118911396,0.00353484610860616
"CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",0.143472049665326,0.00277519113899235
"EARTH SCHOOL",0.146570875454766,0.00192976867280925
"PARK EAST HIGH SCHOOL",0.146973658085534,0.0023892374044305
"STEPHEN T MATHER BUILDING ARTS AND CRAFTMANSHIP HIGH SCHOOL",0.148881289687372,0.0024627524014899
"COMMUNITY ACTION SCHOOL-MS 258",0.149148589054446,0.001470299941188
"LOWER MANHATTAN ARTS ACADEMY",0.149871873064584,0.0017888649284454
"URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT",0.150106199960902,0.00161120368555185
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL",0.15298074769262,0.0030263673789453
"RICHARD R GREEN HIGH SCHOOL OF TEACHING",0.154372027190287,0.00260365614585375
"BALLET TECH/NYC PUBLIC SCHOOL FOR DANCE",0.161715323566701,0.000863801215447951
"JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL",0.163763393188255,0.00286095863556165
"FOOD AND FINANCE HIGH SCHOOL",0.165084075534752,0.00238311115467555
"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",0.16536937542406,0.0020584199176632
"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW",0.165758215840914,0.00202778866888845
"PS 64 ROBERT SIMON",0.168155631211735,0.00126813369927465
"ELLA BAKER SCHOOL",0.168788226759373,0.0017521074299157
"GREAT OAKS CHARTER SCHOOL",0.171758795429371,0.00159895118604195
"PS 112 JOSE CELSO BARBOSA",0.172756074858682,0.00166021368359145
"HERITAGE SCHOOL (THE)",0.173151900440731,0.0019481474220741
"PS 7 SAMUEL STERN",0.1763055685677,0.00234635365614585
"MARTA VALLE HIGH SCHOOL",0.1767907081758,0.000778033718878651
"AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL",0.179501332575566,0.0012129974514801
"HARVEY MILK HIGH SCHOOL",0.179897200064748,0.000410458733581651
"INDEPENDENCE HIGH SCHOOL",0.180606288501831,0.00163570868457165
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",0.180675103584864,0.0026342873946285
"A PHILIP RANDOLPH CAMPUS HIGH SCHOOL",0.181189710115056,0.00930577337776906
"PS 133 FRED R MOORE",0.184027102262293,0.0012129974514801
"MOTT HALL HIGH SCHOOL",0.185176241510085,0.00175823367967065
"GLOBAL LEARNING COLLABORATIVE (THE)",0.185932694529721,0.00257915114683395
"EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL",0.191768695373153,0.00358998235640071
"PS 20 ANNA SILVER",0.191983479011403,0.00268942364242305
"NEW DESIGN HIGH SCHOOL",0.194261116606561,0.00260365614585375
"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION",0.194439704604822,0.0019236424230543
"MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL",0.19482581405735,0.000974073711037052
"PS 34 FRANKLIN D ROOSEVELT",0.19493057349685,0.00177048617918055
"PS 83 LUIS MUNOZ RIVERA",0.197114436326619,0.00237085865516565
"JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LRNING",0.200459607665398,0.00147642619094295
"NEIGHBORHOOD SCHOOL",0.200531557069841,0.00166021368359145
"MANHATTAN CHARTER SCHOOL II",0.201416605995389,0.0011272299549108
"PS 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX",0.202356990514802,0.00251788864928445
"HIGH SCHOOL OF HOSPITALITY MANAGEMENT",0.202722781673544,0.0023157224073711
"PS 206 JOSE CELSO BARBOSA",0.203326385266288,0.0029160948833562
"STEM INSTITUTE OF MANHATTAN",0.205322893846737,0.000802538717898451
"MANHATTAN CHARTER SCHOOL",0.206232359971087,0.00147642619094295
"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES",0.213221142183138,0.00253014114879435
"JAMES WELDON JOHNSON SCHOOL",0.215751720490626,0.00471721231131151
"LANDMARK HIGH SCHOOL",0.224258618848552,0.0020216624191335
"PS 146 ANN M SHORT",0.224642732015509,0.00204004116839835
"BUSINESS OF SPORTS SCHOOL",0.22501830085578,0.00265266614389335
"DREAM CHARTER SCHOOL",0.225998463714316,0.00417197608312096
"PS 96 JOSEPH LANZETTA",0.226443107691352,0.0022177024112919
"MS 256 ACADEMIC AND ATHLETIC EXCELLENCE",0.227793243220323,0.000937316212507351
"ISAAC NEWTON MS FOR MATH AND SCIENCE",0.229532812656609,0.00146417369143305
"MS 245 COMPUTER SCHOOL (THE)",0.229553846365984,0.00246887865124485
"SCHOOL OF THE FUTURE HIGH SCHOOL",0.231109222328184,0.00458243481670261
"PS 188 ISLAND SCHOOL (THE)",0.23274108926906,0.00238311115467555
"PS 38 ROBERTO CLEMENTE",0.238029191824077,0.00118236620270535
"PS 153 ADAM CLAYTON POWELL",0.239054002282843,0.00300798862968045
"CASTLE BRIDGE SCHOOL",0.242297103953547,0.0012007449519702
"UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",0.242910853766256,0.00295897863164085
"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN",0.243872017675162,0.001102724955891
"PS 30 HERNANDEZ/HUGHES",0.245200552508089,0.00135390119584395
"GLOBAL COMMUNITY CHARTER SCHOOL",0.246177160913858,0.0025852773965889
"PS 154 HARRIET TUBMAN",0.248165345275098,0.00145192119192315
"FORSYTHE SATELLITE ACADEMY",0.258753135107638,0.00105984120760635
"EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL",0.259909092861584,0.00205229366790825
"PS/IS 187 HUDSON CLIFFS",0.260276526563166,0.00463144481474221
