"school_name","subject","n_students","min_grade","max_grade","z_wgt"
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1","Math",415,"3","7",2.46597160633188
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","ELA",393,"3","8",1.76444265266121
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2","Math",311,"3","7",2.4902519543456
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3","ELA",625,"3","8",1.94804766127329
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3","Math",515,"3","7",2.90308133382827
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4","ELA",155,"3","4",2.05738439865745
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4","Math",155,"3","4",3.06932919545786
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5","ELA",464,"3","8",1.86177840194026
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5","Math",429,"3","7",2.75251833496882
"SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN","ELA",172,"3","4",2.22760988273772
"SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN","Math",171,"3","4",2.79278086135243
"SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS","ELA",349,"3","7",1.93772885064043
"SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS","Math",349,"3","7",2.63424157432665
"SUCCESS ACADEMY CHARTER SCHOOL-SOUTH JAMAICA","ELA",51,"3","3",1.79061134645485
"SUCCESS ACADEMY CHARTER SCHOOL-SOUTH JAMAICA","Math",52,"3","3",2.30044538514211
"SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE","ELA",433,"3","7",2.3060087495796
"SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE","Math",428,"3","7",3.12442782903811
"SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST","ELA",482,"3","8",2.35681507209782
"SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST","Math",455,"3","7",3.01046667631378
"SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG","ELA",134,"3","4",2.1618822232233
"SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG","Math",135,"3","4",2.75710951929527
