"school_name","county","total","n_amind","n_asian","n_black","n_hisp","n_white","n_multi","n_ed","n_ell","n_swd"
"AMBER CHARTER SCHOOL","NEW YORK",526,1,10,157,348,9,1,438,33,99
"AMBER CHARTER SCHOOL II","BRONX",357,1,5,57,287,4,3,276,39,39
"AMERICAN DREAM CHARTER SCHOOL","BRONX",424,0,0,24,398,1,1,410,82,70
"AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL","NEW YORK",198,0,6,54,128,9,1,174,9,55
"AMHERST CENTRAL HIGH SCHOOL","ERIE",861,1,57,132,57,585,29,273,22,105
"AMHERST MIDDLE SCHOOL","ERIE",684,4,39,91,38,477,35,259,32,84
"AMISTAD DUAL LANGUAGE SCHOOL","NEW YORK",406,0,4,8,374,18,2,317,114,76
"AMPARK NEIGHBORHOOD","BRONX",338,3,13,43,212,56,11,181,13,90
"ANDERSON SCHOOL (THE)","NEW YORK",521,0,152,13,47,250,59,85,1,46
"ANDRIES HUDDE SCHOOL","KINGS",692,8,113,399,110,59,3,580,115,148
"ANGELO PATRI MIDDLE SCHOOL (THE)","BRONX",470,3,8,108,346,5,0,434,165,128
"ANTONIA PANTOJA PREPARATORY ACADEMY","BRONX",441,9,24,73,329,6,0,375,62,132
"ARCADIA HIGH SCHOOL","MONROE",1090,3,29,156,158,706,38,615,24,160
"ARCADIA MIDDLE SCHOOL","MONROE",774,1,16,103,117,497,40,485,20,117
"ARCHER ELEMENTARY SCHOOL","BRONX",467,9,63,110,269,10,6,446,112,146
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS","BRONX",662,4,71,183,390,12,2,517,71,185
"ARMOR ELEMENTARY SCHOOL","ERIE",322,1,1,5,7,301,7,96,3,47
"ART AND DESIGN HIGH SCHOOL","NEW YORK",1490,9,126,221,803,259,72,857,12,325
"ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX","BRONX",177,2,0,63,105,7,0,154,24,37
"ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL","KINGS",196,4,0,152,38,2,0,160,6,50
"ASTOR COLLEGIATE ACADEMY","BRONX",502,6,41,139,246,61,9,387,38,120
"ATHENA HIGH SCHOOL","MONROE",1119,0,51,182,114,735,37,557,29,188
"ATHENA MIDDLE SCHOOL","MONROE",783,0,29,126,104,480,44,382,23,112
"ATMOSPHERE ACADEMY PUBLIC CHARTER","BRONX",408,1,6,71,321,8,1,377,47,86
"AUGUST MARTIN HIGH SCHOOL","QUEENS",310,13,38,206,47,4,2,245,19,71
"AUTOMOTIVE HIGH SCHOOL","KINGS",339,4,11,170,142,9,3,284,22,117
"AUTUMN LANE ELEMENTARY SCHOOL","MONROE",290,0,18,38,39,166,29,169,24,40
"AVIATION CAREER AND TECHNICAL HIGH SCHOOL","QUEENS",2097,19,774,85,962,193,64,1339,60,306
"BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION","QUEENS",536,3,249,21,101,144,18,199,10,41
"BALLET TECH/NYC PUBLIC SCHOOL FOR DANCE","NEW YORK",141,1,38,25,35,31,11,63,4,8
"BANANA KELLY HIGH SCHOOL","BRONX",344,2,3,121,212,4,2,305,60,99
"BARCLAY ELEMENTARY SCHOOL","MONROE",461,1,5,13,52,363,27,223,13,66
"BARD HIGH SCHOOL EARLY COLLEGE","NEW YORK",614,0,182,69,104,244,15,258,0,52
"BARD HIGH SCHOOL EARLY COLLEGE QUEENS","QUEENS",643,4,232,66,121,211,9,280,1,35
"BARKER ROAD MIDDLE SCHOOL","MONROE",712,1,82,22,31,535,41,20,0,89
"BARUCH COLLEGE CAMPUS HIGH SCHOOL","NEW YORK",476,1,168,17,65,206,19,192,4,68
"BATTERY PARK CITY SCHOOL","NEW YORK",832,1,168,33,113,443,74,137,28,172
"BAY TRAIL MIDDLE SCHOOL","MONROE",1083,2,29,54,68,880,50,246,8,105
"BAYCHESTER ACADEMY","BRONX",387,3,8,272,92,7,5,316,24,78
"BAYCHESTER MIDDLE SCHOOL","BRONX",279,8,6,172,88,3,2,245,15,67
"BAYSIDE HIGH SCHOOL","QUEENS",2870,104,1090,376,720,565,15,2045,236,538
"BEACON HIGH SCHOOL","NEW YORK",1423,11,129,202,279,666,136,530,1,179
"BEACON HIGH SCHOOL","NEW YORK",936,0,12,178,283,416,47,408,19,192
"BEDFORD ACADEMY HIGH SCHOOL","KINGS",361,5,14,283,32,12,15,326,4,54
"BEDFORD PARK ELEMENTARY SCHOOL","BRONX",389,5,52,25,260,44,3,335,118,70
"BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL","KINGS",355,6,6,214,123,3,3,310,15,72
"BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL","KINGS",702,2,4,346,342,6,2,647,96,146
"BEGINNING WITH CHILDREN CHARTER SCHOOL II","KINGS",412,3,2,83,314,8,2,388,57,82
"BELL ACADEMY","QUEENS",364,0,134,14,96,116,4,159,7,79
"BELLAIRE SCHOOL (THE)","QUEENS",843,95,293,218,177,34,26,504,137,165
"BELMONT PREPARATORY HIGH SCHOOL","BRONX",391,2,18,85,278,5,3,334,48,91
"BEN FRANKLIN ELEMENTARY SCHOOL","ERIE",496,3,23,65,59,299,47,306,44,110
"BEN FRANKLIN MIDDLE SCHOOL","ERIE",654,3,11,54,57,488,41,367,27,145
"BENJAMIN BANNEKER ACADEMY","KINGS",816,8,43,654,91,7,13,605,12,126
"BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE AND INFORMATION TECHNOLOGY","QUEENS",394,23,59,237,64,8,3,337,50,72
"BENJAMIN N CARDOZO HIGH SCHOOL","QUEENS",3622,27,1533,780,755,489,38,2294,163,505
"BENNETT PARK MONTESSORI SCHOOL","ERIE",627,1,9,385,78,108,46,486,15,185
"BIG TREE ELEMENTARY SCHOOL","ERIE",527,1,5,11,30,448,32,196,3,77
"BILINGUAL BICULTURAL SCHOOL (THE)","NEW YORK",287,0,1,17,268,1,0,275,99,86
"BILINGUAL CENTER","ERIE",468,0,2,23,387,50,6,441,277,112
"BLASDELL ELEMENTARY SCHOOL","ERIE",429,0,13,3,38,349,26,256,22,121
"BLUEPRINT MIDDLE SCHOOL","BRONX",669,15,156,82,373,43,0,602,138,143
"BOSTON VALLEY ELEMENTARY SCHOOL","ERIE",229,0,5,0,2,216,6,63,1,48
"BOYS AND GIRLS HIGH SCHOOL","KINGS",430,9,6,353,49,8,5,359,27,121
"BRIARWOOD SCHOOL","MONROE",169,1,1,6,19,133,9,44,1,17
"BRIGHTER CHOICE COMMUNITY SCHOOL","KINGS",250,2,3,153,83,9,0,219,13,61
"BRIGHTON HIGH SCHOOL","MONROE",1171,2,117,104,60,834,54,267,14,149
"BRILLA COLLEGE PREP CS-VERITAS","BRONX",163,1,1,56,103,1,1,153,42,32
"BRILLA COLLEGE PREPARATORY CHARTER SCHOOL","BRONX",572,3,2,133,423,8,3,522,118,131
"BROCKPORT HIGH SCHOOL","MONROE",1050,2,12,49,91,848,48,420,5,139
"BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE)","BRONX",413,3,24,116,253,13,4,315,36,117
"BRONX ACADEMY OF HEALTH CAREERS","BRONX",361,3,14,151,188,3,2,294,50,81
"BRONX ACADEMY OF PROMISE CHARTER SCHOOL","BRONX",599,3,13,235,344,2,2,563,57,96
"BRONX AEROSPACE HIGH SCHOOL","BRONX",308,3,20,121,153,6,5,249,50,82
"BRONX ALLIANCE MIDDLE SCHOOL","BRONX",300,1,9,187,102,1,0,260,18,76
"BRONX ARENA HIGH SCHOOL","BRONX",146,2,2,58,79,4,1,133,10,17
"BRONX BRIDGES HIGH SCHOOL","BRONX",320,9,40,13,247,11,0,274,259,35
"BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL","BRONX",270,3,7,95,161,1,3,235,60,78
"BRONX CENTER FOR SCIENCE AND MATHEMATICS","BRONX",449,3,30,92,305,13,6,394,26,105
"BRONX CHARTER SCH FOR EXCELLENCE 2","BRONX",234,0,68,68,96,1,1,185,38,32
"BRONX CHARTER SCH FOR EXCELLENCE 3","BRONX",234,1,8,164,60,1,0,160,13,26
"BRONX CHARTER SCH FOR EXCELLENCE 4","BRONX",105,0,8,74,21,0,2,76,5,12
"BRONX CHARTER SCHOOL FOR BETTER LEARNING","BRONX",545,4,9,458,55,10,9,449,9,56
"BRONX CHARTER SCHOOL FOR CHILDREN","BRONX",418,1,4,100,308,3,2,388,69,56
"BRONX CHARTER SCHOOL FOR EXCELLENCE","BRONX",805,0,224,308,268,4,1,644,74,95
"BRONX CHARTER SCHOOL FOR THE ARTS","BRONX",431,6,2,99,320,3,1,364,71,105
