"school_name","county","total","n_amind","n_asian","n_black","n_hisp","n_white","n_multi","n_ed","n_ell","n_swd"
"CENTRAL BROOKLYN ASCEND CHARTER","KINGS",553,14,6,483,39,4,7,459,36,86
"CENTRAL PARK EAST HIGH SCHOOL","NEW YORK",512,6,89,134,253,23,7,407,9,83
"CENTRAL PARK EAST I","NEW YORK",153,0,17,21,59,43,13,66,8,42
"CENTRAL PARK EAST II","NEW YORK",450,2,24,135,190,67,32,235,15,128
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","QUEENS",420,1,71,45,285,18,0,360,38,38
"CHALLENGE PREPARATORY CHARTER SCHOOL","QUEENS",791,8,7,644,117,12,3,631,22,127
"CHANNEL VIEW SCHOOL FOR RESEARCH","QUEENS",961,14,80,402,343,112,10,712,20,122
"CHARLES A LINDBERGH ELEMENTARY SCHOOL","ERIE",503,1,17,19,43,389,34,203,6,74
"CHARLES H ROTH MIDDLE SCHOOL","MONROE",610,2,58,105,51,359,35,306,20,65
"CHARLOTTE AVENUE ELEMENTARY SCHOOL","ERIE",264,0,3,1,10,244,6,63,0,46
"CHARLOTTE SIDWAY SCHOOL","ERIE",377,0,8,2,19,326,22,86,13,27
"CHARTER HIGH SCHOOL-LAW AND SOCIAL","BRONX",422,26,1,85,310,0,0,329,42,54
"CHARTER SCHOOL FOR APPLIED TECHNOLOGIES","ERIE",2264,24,132,887,638,405,178,1738,122,242
"CHARTER SCHOOL OF INQUIRY","ERIE",239,2,3,193,19,5,17,219,3,24
"CHEEKTOWAGA HIGH SCHOOL","ERIE",686,2,50,257,49,305,23,440,20,119
"CHEEKTOWAGA MIDDLE SCHOOL","ERIE",617,1,33,234,59,248,42,411,23,102
"CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","NEW YORK",453,1,61,97,280,12,2,368,18,99
"CHESTNUT RIDGE ELEMENTARY SCHOOL","MONROE",545,1,17,68,50,351,58,197,19,35
"CHILDREN'S AID COLLEGE PREPARATORY CHARTER SCHOOL","BRONX",586,8,7,251,308,8,4,452,54,130
"CHILDREN'S LAB SCHOOL (THE)","QUEENS",409,1,117,0,235,51,5,337,125,92
"CHILDREN'S WORKSHOP SCHOOL (THE)","NEW YORK",288,1,27,30,116,102,12,143,11,78
"CHRISTOPHER AVENUE COMMUNITY SCHOOL","KINGS",237,1,1,140,89,4,2,233,13,73
"CHURCHVILLE ELEMENTARY SCHOOL","MONROE",389,0,0,25,30,311,23,172,0,40
"CHURCHVILLE-CHILI MIDDLE SCHOOL","MONROE",1192,2,20,96,83,924,67,387,20,147
"CHURCHVILLE-CHILI SENIOR HIGH SCHOOL","MONROE",1208,1,35,99,64,978,31,375,4,139
"CINEMA SCHOOL (THE)","BRONX",318,19,6,52,231,10,0,249,17,68
"CITY COLLEGE ACADEMY OF THE ARTS","NEW YORK",611,2,8,24,559,16,2,501,33,91
"CITY HONORS SCHOOL AT FOSDICK MASTEN PARK","ERIE",1083,6,125,174,97,615,66,368,3,120
"CITY KNOLL MIDDLE SCHOOL","NEW YORK",180,2,14,47,102,10,5,148,20,61
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE AND TECHNOLOGY","KINGS",430,5,23,282,92,26,2,326,7,90
"CIVIC LEADERSHIP ACADEMY","QUEENS",591,0,78,30,410,32,41,456,37,119
"CLARA BARTON HIGH SCHOOL","KINGS",1212,13,17,1080,87,14,1,928,95,222
"CLAREMONT INTERNATIONAL HIGH SCHOOL","BRONX",341,0,31,67,228,15,0,336,276,24
"CLARENCE CENTER ELEMENTARY SCHOOL","ERIE",376,1,4,0,8,349,14,42,0,35
"CLARENCE MIDDLE SCHOOL","ERIE",1042,1,37,12,36,924,32,160,4,145
"CLARENCE SENIOR HIGH SCHOOL","ERIE",1467,4,55,12,32,1336,28,173,3,194
"CLEVELAND HILL ELEMENTARY SCHOOL","ERIE",583,6,23,183,36,278,57,386,29,88
"CLEVELAND HILL HIGH SCHOOL","ERIE",395,2,7,128,25,205,28,229,7,62
"CLEVELAND HILL MIDDLE SCHOOL","ERIE",276,0,8,92,18,135,23,177,13,44
"CLINTON ELEMENTARY SCHOOL","ERIE",572,4,3,4,30,508,23,207,0,74
"CLINTON ELEMENTARY SCHOOL","ERIE",588,0,7,6,25,528,22,207,22,71
"CLOVERBANK ELEMENTARY SCHOOL","ERIE",559,0,3,6,27,505,18,160,0,82
"COBBLE HILL SCHOOL OF AMERICAN STUDIES","KINGS",584,5,21,366,165,16,11,530,64,117
"COBBLES ELEMENTARY SCHOOL","MONROE",560,0,15,19,35,464,27,121,16,31
"COLDEN ELEMENTARY SCHOOL","ERIE",166,0,0,0,6,158,2,62,0,20
"COLEBROOK SCHOOL","MONROE",163,0,0,6,21,133,3,55,0,14
"COLLABORATIVE ARTS MIDDLE SCHOOL","QUEENS",327,5,4,270,44,2,2,265,17,73
"COLLEGE ACADEMY (THE)","NEW YORK",424,1,1,29,381,9,3,408,218,80
"COLLEGE POINT COLLABORATIVE","QUEENS",154,1,25,0,108,18,2,119,20,28
"COLLEGIATE ACADEMY-MATH-PERSONAL AWA","KINGS",109,1,2,92,14,0,0,82,1,25
"COLLEGIATE INSTITUTE FOR MATH AND SCIENCE","BRONX",609,7,69,209,247,72,5,447,20,119
"COLUMBIA SECONDARY SCHOOL","NEW YORK",716,6,63,147,280,187,33,359,4,120
"COMMUNITY ACTION SCHOOL-MS 258","NEW YORK",240,2,6,84,128,20,0,200,10,61
"COMMUNITY HEALTH ACADEMY OF THE HEIGHTS","NEW YORK",699,1,5,50,630,12,1,631,121,142
"COMMUNITY PARTNERSHIP CHARTER SCHOOL","KINGS",406,8,7,312,75,3,1,360,10,76
"COMMUNITY ROOTS CHARTER SCHOOL","KINGS",473,0,25,127,81,201,39,147,7,115
"COMMUNITY SCHOOL #53 AT #4","ERIE",431,0,39,322,40,18,12,411,48,121
"COMMUNITY SCHOOL FOR SOCIAL JUSTICE","BRONX",313,3,0,72,233,2,3,286,62,82
"COMMUNITY VOICES MIDDLE SCHOOL","QUEENS",342,7,8,281,39,4,3,254,28,96
"COMO PARK ELEMENTARY SCHOOL","ERIE",389,2,9,3,8,359,8,123,3,53
"COMPASS CHARTER SCHOOL","KINGS",300,2,20,83,36,133,26,88,9,82
"COMPREHENSIVE MODEL SCHOOL PROJECT MS 327","BRONX",731,1,2,142,578,7,1,652,81,202
"CONCOURSE VILLAGE ELEMENTARY SCHOOL","BRONX",318,1,5,106,200,6,0,277,31,72
"CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL","KINGS",1007,6,85,390,351,161,14,840,52,247
"CONSELYEA PREPARATORY SCHOOL","KINGS",488,1,12,27,271,176,1,249,21,100
"CORNERSTONE ACADEMY FOR SOCIAL ACTION","BRONX",345,3,2,180,142,11,7,314,14,88
"CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL","BRONX",262,2,0,161,93,4,2,201,5,65
"CORONA ARTS AND SCIENCES ACADEMY","QUEENS",756,1,10,14,728,2,1,731,172,154
"COUNCIL ROCK PRIMARY SCHOOL","MONROE",685,0,85,42,41,460,57,147,70,71
"COUNTRY PARKWAY ELEMENTARY SCHOOL","ERIE",542,1,185,26,25,276,29,83,89,43
"COURT STREET ELEMENTARY SCHOOL","ERIE",355,1,6,1,7,332,8,67,3,77
"CRAIG HILL ELEMENTARY SCHOOL","MONROE",304,0,8,42,59,168,27,176,20,32
"CRESTON ACADEMY","BRONX",457,4,8,51,389,5,0,435,136,89
"CROTONA INTERNATIONAL HIGH SCHOOL","BRONX",328,2,6,22,285,13,0,283,303,18
"CULTURAL ACADEMY FOR THE ARTS AND SCIENCES","KINGS",283,5,3,237,28,8,2,217,31,64
"CULTURAL ARTS ACADEMY CHARTER SCHOOL AT SPRING CREEK","KINGS",256,3,0,227,21,2,3,183,2,27
"CYNTHIA JENKINS SCHOOL","QUEENS",392,3,11,333,41,2,2,321,14,94
"CYPRESS HILLS ASCEND CHARTER","KINGS",124,2,6,34,79,2,1,110,22,17
"CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL","KINGS",299,4,35,56,194,9,1,271,64,60
"D'YOUVILLE-PORTER CAMPUS","ERIE",620,0,21,73,490,28,8,579,289,130
"DAKE JUNIOR HIGH SCHOOL","MONROE",544,1,21,60,58,382,22,208,13,68
"DAVID B CRANE ELEMENTARY SCHOOL","MONROE",355,0,83,45,23,173,31,186,60,60
"DEMOCRACY PREP ENDURANCE CHARTER SCHOOL","NEW YORK",654,9,2,420,206,8,9,509,36,132
"DEMOCRACY PREP HARLEM CHARTER SCHOOL","NEW YORK",1032,10,9,660,336,7,10,904,68,208
"DEMOCRACY PREPARATORY CHARTER SCHOOL","NEW YORK",705,11,8,455,224,5,2,567,30,143
"DEPEW HIGH SCHOOL","ERIE",556,3,19,17,18,490,9,231,5,79
"DEPEW MIDDLE SCHOOL","ERIE",392,0,7,14,15,343,13,197,2,67
"DEWITT CLINTON HIGH SCHOOL","BRONX",1110,14,118,352,576,37,13,921,164,217
"DEWITT ROAD ELEMENTARY SCHOOL","MONROE",527,0,8,13,40,449,17,119,1,43
"DISCOVERY CHARTER SCHOOL","MONROE",276,0,1,177,65,16,17,264,14,33
"DISCOVERY HIGH SCHOOL","BRONX",491,4,21,81,373,11,1,428,124,124
"DISCOVERY SCHOOL","ERIE",563,2,18,71,68,371,33,263,3,127
"DODGE ELEMENTARY SCHOOL","ERIE",541,0,81,18,26,390,26,103,44,99
"DOES PUENTES ELEMENTARY SCHOOL","NEW YORK",412,0,1,11,316,77,7,270,119,106
"DR ANTONIA PANTOJA COMMUNITY SCHOOL OF ACADEMIC EXCELLENCE AT #18","ERIE",463,0,144,163,93,51,12,436,168,112
"DR GEORGE BLACKMAN ECC","ERIE",401,1,25,252,54,43,26,347,21,137
"DR JACQUELINE PEEK-DAVIS SCHOOL","KINGS",255,3,1,185,56,9,1,242,18,70
"DR LYDIA T WRIGHT SCH OF EXCELLENCE","ERIE",596,0,14,492,53,23,14,538,22,157
"DR RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL","BRONX",797,3,5,191,578,15,5,746,93,166
"DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS","KINGS",318,5,6,222,78,4,3,286,12,95
"DR WALTER COOPER ACADEMY","MONROE",338,0,2,259,57,17,3,300,17,86
"DREAM CHARTER SCHOOL","NEW YORK",681,5,13,209,433,17,4,593,39,216
"DREAMYARD PREPARATORY SCHOOL","BRONX",275,1,2,77,190,5,0,246,66,66
"DUDLEY SCHOOL","MONROE",627,0,4,12,36,545,30,139,0,54
"DURAND-EASTMAN INTERMEDIATE SCHOOL","MONROE",367,0,5,72,97,161,32,242,20,38
"EAGLE ACADEMY FOR YOUNG MEN","BRONX",531,8,2,295,221,4,1,423,23,151
"EAGLE ACADEMY FOR YOUNG MEN II","KINGS",652,6,4,581,55,1,5,524,3,180
"EAGLE ACADEMY FOR YOUNG MEN III","QUEENS",491,11,6,439,16,6,13,346,1,131
"EAGLE ACADEMY FOR YOUNG MEN OF HARLEM","NEW YORK",374,10,2,261,91,5,5,285,16,114
"EARTH SCHOOL","NEW YORK",315,0,22,35,129,105,24,176,21,102
"EAST AURORA HIGH SCHOOL","ERIE",644,0,8,3,18,612,3,101,0,61
"EAST AURORA MIDDLE SCHOOL","ERIE",511,0,6,3,13,477,12,67,2,77
"EAST BRONX ACADEMY FOR THE FUTURE","BRONX",671,10,15,171,463,8,4,636,110,205
"EAST BROOKLYN COMMUNITY HIGH SCHOOL","KINGS",178,2,3,137,30,6,0,145,11,80
"EAST COMMUNITY HIGH SCHOOL","ERIE",246,6,17,164,32,24,3,220,31,38
"EAST ELMHURST COMMUNITY SCHOOL","QUEENS",457,2,21,31,384,17,2,417,166,84
"EAST FLATBUSH COMMUNITY RESEARCH SCHOOL","KINGS",268,4,6,227,16,14,1,231,31,74
"EAST FORDHAM ACADEMY FOR THE ARTS","BRONX",297,6,7,54,225,5,0,273,85,89
"EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL","NEW YORK",586,7,11,140,392,23,13,586,46,166
"EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II","NEW YORK",417,2,11,144,255,1,4,381,53,106
"EAST HIGH SCHOOL","MONROE",669,2,25,372,206,60,4,572,114,96
"EAST IRONDEQUOIT MIDDLE SCHOOL","MONROE",671,0,12,166,176,286,31,432,35,79
"EAST LOWER SCHOOL","MONROE",366,2,12,193,124,34,1,314,40,54
"EAST MIDDLE SCHOOL","ERIE",1119,2,11,89,990,24,3,1065,319,184
"EAST MIDDLE SCHOOL","ERIE",557,1,13,174,124,185,60,469,57,110
"EAST MIDDLE SCHOOL","ERIE",817,1,16,53,46,676,25,341,7,136
"EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE","KINGS",477,8,22,239,200,4,4,448,72,106
"EAST NEW YORK FAMILY ACADEMY","KINGS",499,6,15,314,159,2,3,412,17,113
"EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE","KINGS",266,1,8,150,101,5,1,245,31,73
"EAST ROCHESTER ELEMENTARY SCHOOL","MONROE",426,2,3,16,52,332,21,227,3,92
"EAST ROCHESTER JUNIOR-SENIOR HIGH SCHOOL","MONROE",500,5,1,59,61,364,10,277,10,69
"EAST SIDE COMMUNITY SCHOOL","NEW YORK",678,4,80,114,363,104,13,452,8,190
"EAST SIDE ELEMENTRAY SCHOOL-PS 267","NEW YORK",413,0,53,4,44,301,11,54,17,64
"EAST SIDE MIDDLE SCHOOL","NEW YORK",450,2,63,13,52,289,31,73,0,75
"EAST VILLAGE COMMUNITY SCHOOL (THE)","NEW YORK",297,1,26,14,67,174,15,87,5,50
"EAST-WEST SCHOOL OF INTERNATIONAL STUDIES","QUEENS",651,4,449,43,120,31,4,538,45,98
"EASTRIDGE SENIOR HIGH SCHOOL","MONROE",948,2,23,209,203,451,60,552,31,107
"EBBETS FIELD MIDDLE SCHOOL","KINGS",135,0,8,89,26,11,1,126,27,43
"EBC HIGH SCHOOL FOR PUBLIC SERVICE-BUSHWICK","KINGS",479,0,1,42,426,9,1,414,97,110
"EDEN ELEMENTARY SCHOOL","ERIE",289,4,0,1,6,272,6,83,0,59
"EDEN JUNIOR-SENIOR HIGH SCHOOL","ERIE",749,4,5,4,9,715,12,186,1,129
"EDMUND W GORDON BROOKLYN LABORATORY","KINGS",50,0,2,43,4,0,1,49,1,7
"EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL","NEW YORK",335,1,2,104,217,10,1,292,35,125
"EDWARD R MURROW HIGH SCHOOL","KINGS",3713,15,923,817,712,1114,132,2492,327,707
"EGGERT ROAD ELEMENTARY SCHOOL","ERIE",501,0,20,5,21,433,22,81,22,77
"EL PUENTE ACADEMY FOR PEACE AND JUSTICE","KINGS",224,2,1,11,207,1,2,193,41,58
"ELEANOR ROOSEVELT HIGH SCHOOL","NEW YORK",528,10,84,14,53,356,11,105,0,86
"ELEMENTARY SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY","BRONX",281,2,1,63,215,0,0,271,84,54
"ELIJAH STROUD MIDDLE SCHOOL","KINGS",171,4,8,115,36,8,0,151,23,63
"ELLA BAKER SCHOOL","NEW YORK",286,10,15,48,94,99,20,91,5,68
"ELLICOTT ROAD ELEMENTARY SCHOOL","ERIE",602,0,2,0,12,575,13,48,0,101
"ELM COMMUNITY CHARTER SCHOOL","QUEENS",103,3,12,6,75,4,3,78,35,21
"ELM TREE ELEMENTARY SCHOOL","QUEENS",482,2,29,18,426,6,1,447,202,119
"ELMA PRIMARY SCHOOL","ERIE",289,0,3,0,2,275,9,42,0,46
"ELMWOOD VILLAGE CHARTER - HERTEL","ERIE",201,1,12,74,32,57,25,131,10,43
"ELMWOOD VILLAGE CHARTER SCHOOL","ERIE",449,3,5,112,80,204,45,240,7,66
"EMBLAZE ACADEMY CHARTER SCHOOL","BRONX",90,0,4,35,49,2,0,76,14,27
"EMERSON SCHOOL (THE)","QUEENS",353,26,79,156,86,6,0,295,37,86
"EMERSON SCHOOL OF HOSPITALITY","ERIE",479,0,6,331,82,48,12,413,31,120
"EMMA E SHERMAN ELEMENTARY SCHOOL","MONROE",591,1,75,72,43,363,37,327,45,74
"EMMA LAZARUS HIGH SCHOOL","NEW YORK",308,7,125,53,97,26,0,290,251,0
"EMOLIOR ACADEMY","BRONX",327,10,13,77,213,13,1,298,69,79
"ENERGY TECH HIGH SCHOOL","QUEENS",534,4,91,50,308,64,17,394,14,100
"ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT","BRONX",293,8,7,60,203,14,1,260,268,2
"ENGLISH VILLAGE ELEMENTARY SCHOOL","MONROE",416,0,19,57,88,203,49,317,27,55
"ENTERPRISE CHARTER SCHOOL","ERIE",403,0,7,245,124,10,17,403,20,44
"EPIC HIGH SCHOOL NORTH","QUEENS",402,13,109,66,167,21,26,300,39,61
"EPIC HIGH SCHOOL-SOUTH","QUEENS",389,26,104,125,110,13,11,260,37,77
"EQUALITY CHARTER SCHOOL","BRONX",621,1,12,382,214,11,1,500,39,158
"EQUITY PROJECT CHARTER SCHOOL (THE)","NEW YORK",844,0,1,35,797,9,2,765,243,200
"ESMT-IS 190","BRONX",274,2,4,78,187,1,2,257,35,65
"ESPERANZA PREPATORY ACADEMY","NEW YORK",571,2,11,58,491,9,0,507,180,156
"ESSEX STREET ACADEMY","NEW YORK",337,3,22,118,142,34,18,230,11,91
"ETHEL K FYLE ELEMENTARY SCHOOL","MONROE",411,0,82,65,36,204,24,184,65,21
"EUGENIO MARIA DE HOSTOS CHARTER SCHOOL","MONROE",811,1,0,170,617,18,5,662,155,71
"EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION","KINGS",362,0,3,81,271,7,0,342,58,85
"EXCELLENCE BOYS CHARTER SCHOOL OF BEDFORD STUYVESANT","KINGS",767,12,21,626,80,13,15,568,20,171
"EXCELLENCE GIRLS CHARTER SCHOOL","KINGS",1444,43,30,1108,241,15,7,1054,34,199
"EXCELSIOR PREPARATORTY HIGH SCHOOL","QUEENS",422,5,11,346,34,11,15,354,32,66
"EXIMIUS COLLEGE PREPARATORY ACADEMY","BRONX",423,3,4,136,276,0,4,347,38,106
"EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS","KINGS",375,6,57,69,136,98,9,290,55,78
"EXPLORATION ELE CS - SCIENCE-TECHNOL","MONROE",207,1,1,163,29,10,3,182,8,11
"EXPLORATIONS ACADEMY","BRONX",332,4,5,94,227,2,0,292,73,93
"EXPLORE CHARTER SCHOOL","KINGS",509,9,2,417,73,3,5,426,35,72
"EXPLORE EMPOWER CHARTER SCHOOL","KINGS",509,3,3,454,43,4,2,422,19,127
"EXPLORE EXCEED CHARTER SCHOOL","KINGS",499,2,9,379,102,1,6,390,40,133
"EXPLORE EXCEL CHARTER SCHOOL","KINGS",529,3,7,488,18,6,7,418,36,110
"FACING HISTORY SCHOOL (THE)","NEW YORK",356,2,3,88,252,8,3,286,39,91
"FAIRBANKS ROAD ELEMENTARY SCHOOL","MONROE",482,0,3,12,26,413,28,112,12,43
"FAIRMONT NEIGHBORHOOD SCHOOL","BRONX",276,0,0,102,171,3,0,263,42,96
"FAIRPORT SENIOR HIGH SCHOOL","MONROE",1409,1,57,69,43,1218,21,294,25,178
"FAMILY LIFE ACADEMY CHARTER SCHOOL I","BRONX",267,1,2,57,206,1,0,244,57,21
"FAMILY LIFE ACADEMY CHARTER SCHOOL II","BRONX",576,2,3,134,435,1,1,523,53,78
"FAMILY LIFE ACADEMY CHARTER SCHOOL III","BRONX",256,1,1,87,165,0,2,229,36,27
"FAMILY SCHOOL (THE)","BRONX",516,2,20,134,357,3,0,480,154,157
"FANNIE LOU HAMER FREEDOM HIGH SCHOOL","BRONX",473,6,4,135,319,6,3,399,60,150
"FANNIE LOU HAMER MIDDLE SCHOOL","BRONX",281,0,3,69,202,7,0,238,46,71
"FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY","KINGS",278,5,4,192,75,2,0,232,11,77
"FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC, ART AND PERFORMING ARTS","NEW YORK",2766,7,538,272,493,1261,195,811,5,104
"FLETCHER ELEMENTARY SCHOOL","ERIE",270,2,1,5,19,226,17,169,6,43
"FLORENCE BRASSER SCHOOL","MONROE",384,2,16,51,42,241,32,169,33,32
"FLOYD S WINSLOW ELEMENTARY SCHOOL","MONROE",440,0,45,41,43,269,42,215,45,19
"FLUSHING HIGH SCHOOL","QUEENS",1624,20,262,316,950,55,21,1290,330,216
"FLUSHING INTERNATIONAL HIGH SCHOOL","QUEENS",402,0,184,7,193,16,2,372,341,12
"FOOD AND FINANCE HIGH SCHOOL","NEW YORK",389,2,23,142,208,12,2,322,13,85
"FORDHAM HIGH SCHOOL FOR THE ARTS","BRONX",321,2,5,128,178,7,1,290,12,70
"FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY","BRONX",358,1,10,90,251,5,1,303,72,87
"FOREST ELEMENTARY SCHOOL","ERIE",518,1,46,32,16,399,24,151,31,69
"FOREST HILLS HIGH SCHOOL","QUEENS",3793,32,905,270,1352,1119,115,2982,312,627
"FORSYTHE SATELLITE ACADEMY","NEW YORK",173,2,1,74,88,7,1,147,11,57
"FORT GREEN PREPARATORY ACADEMY","KINGS",211,4,8,137,57,2,3,197,13,67
"FORT HAMILTON HIGH SCHOOL","KINGS",4553,11,1274,142,1442,1613,71,3309,666,720
"FORTE PREPARATORY ACADEMY CHARTER","QUEENS",178,0,6,17,152,3,0,160,29,38
"FORWARD SCHOOL (THE)","BRONX",557,9,22,322,193,10,1,494,76,150
"FRANCIS LEWIS HIGH SCHOOL","QUEENS",4473,15,2540,270,953,673,22,3135,460,671
"FRANK A SEDITA SCHOOL #30","ERIE",765,1,48,104,575,28,9,739,378,145
"FRANK MCCOURT HIGH SCHOOL","NEW YORK",414,3,19,57,190,125,20,225,12,94
"FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL","QUEENS",858,7,98,113,284,307,49,335,7,165
"FRANKLIN DELANO ROOSEVELT HIGH SCHOOL","KINGS",3208,17,1222,327,1076,555,11,2576,1036,475
"FRED W HILL SCHOOL","MONROE",467,2,4,18,51,371,21,221,13,87
"FREDERICK DOUGLASS ACADEMY","NEW YORK",1280,12,16,875,339,32,6,1008,71,241
"FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL","NEW YORK",360,4,8,220,118,7,3,303,38,98
"FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL","BRONX",410,2,5,179,212,7,5,363,83,105
"FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL","BRONX",214,2,5,75,129,1,2,191,36,53
"FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL","QUEENS",333,8,4,171,147,2,1,260,89,71
"FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL","KINGS",159,2,3,135,19,0,0,144,7,55
"FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL","KINGS",336,0,22,235,69,10,0,302,8,74
"FREDERICK OLMSTED #156","ERIE",848,7,94,311,104,286,46,426,7,133
"FRENCH ROAD ELEMENTARY SCHOOL","MONROE",819,0,87,54,63,548,67,194,46,114
"FRESH CREEK SCHOOL (THE)","KINGS",182,4,0,120,54,3,1,170,7,43
"FRONTIER MIDDLE SCHOOL","ERIE",1126,2,16,17,55,994,42,363,9,219
"FRONTIER SENIOR HIGH SCHOOL","ERIE",1387,5,13,10,65,1257,37,434,11,241
"FUTURE LEADERS INSTITUTE CHARTER SCHOOL","NEW YORK",370,1,3,300,60,4,2,326,23,57
"G L PRIESS PRIMARY SCHOOL","ERIE",281,0,1,0,9,264,7,73,0,44
"GATES-CHILI HIGH SCHOOL","MONROE",1307,4,81,239,156,764,63,620,53,178
"GATES-CHILI MIDDLE SCHOOL","MONROE",824,3,43,142,103,457,76,434,31,114
"GENESEE COMMUNITY CHARTER SCHOOL","MONROE",221,1,6,57,17,129,11,79,2,22
"GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES","QUEENS",413,13,18,302,64,4,12,299,21,73
"GEORGE WESTINGHOUSE CAREER & TECHNICAL ED HIGH SCHOOL","KINGS",791,9,31,539,187,13,12,618,18,156
"GINTHER ELEMENTARY SCHOOL","MONROE",469,1,6,13,51,368,30,230,14,67
"GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK","NEW YORK",650,8,13,312,302,8,7,495,9,126
"GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX","BRONX",726,12,3,238,455,12,6,666,39,141
"GLENDALE ELEMENTARY SCHOOL","ERIE",390,0,9,101,20,233,27,201,1,42
"GLOBAL COMMUNITY CHARTER SCHOOL","NEW YORK",422,2,4,156,243,10,7,375,67,93
"GLOBAL CONCEPTS CHARTER SCHOOL","ERIE",952,1,10,216,73,645,7,687,124,92
"GLOBAL LEARNING COLLABORATIVE (THE)","NEW YORK",421,2,8,109,278,22,2,350,52,88
"GOLDIE MAPLE ACADEMY","QUEENS",364,14,13,244,85,8,0,245,5,37
"GORDON PARKS SCHOOL (THE)","QUEENS",726,6,5,691,17,1,6,522,3,123
"GOTHAM PROFESSIONAL ARTS ACADEMY","KINGS",180,0,1,142,35,1,1,148,7,67
"GRABIARZ-CAMPUS SCHOOL #79","ERIE",592,4,59,214,166,112,37,520,96,195
"GRAMERCY ARTS HIGH SCHOOL","NEW YORK",468,10,22,153,244,29,10,379,10,81
"GRAND CONCOURSE ACAD CHARTER SCH","BRONX",579,8,25,187,342,11,6,481,79,64
"GRAND ISLAND SENIOR HIGH SCHOOL","ERIE",974,7,28,21,40,856,22,257,2,107
"GRANT AVENUE ELEMENTARY SCHOOL","BRONX",420,8,20,117,269,6,0,397,101,156
"GREAT OAKS CHARTER SCHOOL","NEW YORK",261,2,14,80,157,7,1,194,8,78
"GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS","KINGS",306,1,10,71,205,15,4,241,75,80
"GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMATICS","NEW YORK",508,0,0,0,508,0,0,505,379,12
"GRIFFITH INSTITUTE HIGH SCHOOL","ERIE",558,5,3,3,17,521,9,171,1,80
"GRIFFITH INSTITUTE MIDDLE SCHOOL","ERIE",399,4,3,1,6,381,4,144,3,44
"GROVER CLEVELAND HIGH SCHOOL","QUEENS",1707,13,170,99,1086,311,28,1228,297,344
"GROWING UP GREEN CHARTER SCHOOL","QUEENS",827,11,102,98,311,258,47,435,65,178
"GROWING UP GREEN CHARTER SCHOOL II","QUEENS",359,7,46,188,103,10,5,284,38,79
"HAMBURG HIGH SCHOOL","ERIE",1159,2,12,6,23,1097,19,259,0,110
"HAMBURG MIDDLE SCHOOL","ERIE",772,2,7,9,21,709,24,182,1,114
"HAMILTON GRANGE MIDDLE SCHOOL","NEW YORK",294,1,5,30,243,10,5,267,61,67
"HAMILTON HEIGHTS SCHOOL","NEW YORK",148,1,5,30,73,31,8,101,25,31
"HARBOR HEIGHTS","NEW YORK",120,0,0,0,120,0,0,117,109,3
"HARBOR SCIENCE AND ARTS CHARTER SCHOOL","NEW YORK",282,0,4,161,113,0,4,222,5,66
"HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL","NEW YORK",1140,9,5,914,193,11,8,975,35,207
"HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL","NEW YORK",1039,6,7,838,161,9,18,864,30,185
"HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","NEW YORK",494,1,4,191,195,98,5,355,40,116
