"school_name","ls","p"
"ARCADIA HIGH SCHOOL",0.00654511286655213,0.000905335165045092
"ARCADIA MIDDLE SCHOOL",0.00525720251076927,0.000642871025454038
"ARCHER ELEMENTARY SCHOOL",0.0426334118175739,0.000387882130345007
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",0.0233374173030062,0.000549845760788854
"ARMOR ELEMENTARY SCHOOL",0.00680545355535622,0.000267447635912403
"ART AND DESIGN HIGH SCHOOL",0.00242939932299091,0.00123756825313503
"ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX",0.00111550264031616,0.000147013141479799
"ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL",0.0126347649535475,0.000162794213164072
"ASTOR COLLEGIATE ACADEMY",0.0072747155623526,0.000416952525552877
"ATHENA HIGH SCHOOL",0.00166031377507686,0.000929422063931613
"ATHENA MIDDLE SCHOOL",0.0077706259366597,0.000650346269936062
"ATMOSPHERE ACADEMY PUBLIC CHARTER",0.0013297101008995,0.000338877749851741
"AUGUST MARTIN HIGH SCHOOL",0.00464655385402134,0.000257480643269705
"AUTOMOTIVE HIGH SCHOOL",0.0665097423457573,0.000281567542156226
"AUTUMN LANE ELEMENTARY SCHOOL",0.00962548207556994,0.000240868988865208
"AVIATION CAREER AND TECHNICAL HIGH SCHOOL",0.00681819127510632,0.00174173196431152
"BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",0.0517200237125116,0.000445192338040522
"BALLET TECH/NYC PUBLIC SCHOOL FOR DANCE",0.0753336386926117,0.000117112163551705
"BANANA KELLY HIGH SCHOOL",0.0276850421510644,0.00028572045575735
"BARCLAY ELEMENTARY SCHOOL",0.00772710368238965,0.000382898634023658
"BARD HIGH SCHOOL EARLY COLLEGE",0.0436323985252964,0.000509977790218061
"BARD HIGH SCHOOL EARLY COLLEGE QUEENS",0.0785252296412847,0.000534064689104582
"BARKER ROAD MIDDLE SCHOOL",0.015318064411664,0.000591374896800097
"BARUCH COLLEGE CAMPUS HIGH SCHOOL",0.00783316639110934,0.000395357374827031
"BATTERY PARK CITY SCHOOL",0.000860370713362792,0.00069104482322708
"BAY TRAIL MIDDLE SCHOOL",0.0331337981335643,0.000899521086003518
"BAYCHESTER ACADEMY",0.000406612077940453,0.000321435512727019
"BAYCHESTER MIDDLE SCHOOL",0.00759723485462702,0.000231732578942735
"BAYSIDE HIGH SCHOOL",2.58618707352021e-05,0.00238377240704533
"BEACON HIGH SCHOOL",0.0037075558320546,0.00195934463701043
"BEDFORD ACADEMY HIGH SCHOOL",0.00570456858844678,0.000299840362001173
"BEDFORD PARK ELEMENTARY SCHOOL",0.00035092772700045,0.000323096678167469
"BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL",0.000502268003545433,0.000294856865679824
"BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL",0.00099408840580182,0.000583069069597849
"BEGINNING WITH CHILDREN CHARTER SCHOOL II",0.000245906996107789,0.00034220008073264
"BELL ACADEMY",0.00224622239091983,0.000302332110161847
"BELLAIRE SCHOOL (THE)",9.58919323280861e-05,0.000700181233149553
"BELMONT PREPARATORY HIGH SCHOOL",0.00555372833702674,0.000324757843607918
"BEN FRANKLIN ELEMENTARY SCHOOL",0.00309522046188563,0.000411969029231528
"BEN FRANKLIN MIDDLE SCHOOL",0.00308333979750909,0.000543201099027055
"BENJAMIN BANNEKER ACADEMY",0.0043972220829547,0.000677755499703482
"BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE AND INFORMATION TECHNOLOGY",0.000186052956465461,0.000327249591768593
"BENJAMIN N CARDOZO HIGH SCHOOL",0.00906035991559079,0.00300837061265443
"BENNETT PARK MONTESSORI SCHOOL",0.0317515304498658,0.000520775365580984
"BIG TREE ELEMENTARY SCHOOL",0.0067586336557922,0.000437717093558499
"BILINGUAL BICULTURAL SCHOOL (THE)",0.0344551668517739,0.000238377240704533
"BILINGUAL CENTER",0.00735400190126799,0.000388712713065232
"BLASDELL ELEMENTARY SCHOOL",0.0246544289385586,0.000356319986976463
"BLUEPRINT MIDDLE SCHOOL",0.00173601343249722,0.000555659839830428
"BOSTON VALLEY ELEMENTARY SCHOOL",0.00118315316225175,0.000190203442931492
"BOYS AND GIRLS HIGH SCHOOL",0.0243183937609768,0.000357150569696688
"BRIARWOOD SCHOOL",0.030358239655987,0.000140368479718001
"BRIGHTER CHOICE COMMUNITY SCHOOL",0.00878070410131965,0.000207645680056214
"BRIGHTON HIGH SCHOOL",0.0142252842574046,0.000972612365383306
"BRILLA COLLEGE PREP CS-VERITAS",0.000117643544620901,0.000135384983396651
"BRILLA COLLEGE PREPARATORY CHARTER SCHOOL",0.00464390987825702,0.000475093315968617
"BROCKPORT HIGH SCHOOL",0.011889680154573,0.000872111856236098
"BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE)",0.0252963665861471,0.000343030663452865
"BRONX ACADEMY OF HEALTH CAREERS",0.00361674869199447,0.000299840362001173
"BRONX ACADEMY OF PROMISE CHARTER SCHOOL",0.00305058640338307,0.000497519049414688
"BRONX AEROSPACE HIGH SCHOOL",0.0171505045874449,0.000255819477829255
"BRONX ALLIANCE MIDDLE SCHOOL",0.0119768306982555,0.000249174816067457
"BRONX ARENA HIGH SCHOOL",0.0199209113625871,0.000121265077152829
"BRONX BRIDGES HIGH SCHOOL",0.0242529986415095,0.000265786470471954
"BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL",0.0282833027490421,0.000224257334460711
"BRONX CENTER FOR SCIENCE AND MATHEMATICS",0.00584224843194738,0.00037293164138096
"BRONX CHARTER SCH FOR EXCELLENCE 2",0.010084450705241,0.000194356356532616
"BRONX CHARTER SCH FOR EXCELLENCE 3",0.0231418172606328,0.000194356356532616
"BRONX CHARTER SCH FOR EXCELLENCE 4",0.0211885740152392,8.72111856236098e-05
